threat_condition,source_condition,christian,conservative_political_beliefs_normalized,authoritarian_answers_total,religious_beliefs_total,religious_evaluative_bias_total,threatened,article_quality,article_convinvingness,gender,age,employment,income,education,religious_affiliation,political_party,ethnicity,marital_status,article_comprehension,god_belief,certain_of_god_belief,religious_importance,religious_attendance,prayer_frequency,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,attention_check_1,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,political_beliefs_religious_1,political_beliefs_religious_2,political_beliefs_religious_3,political_beliefs_religious_4,political_beliefs_conservative_5,political_beliefs_conservative_6,political_beliefs_conservative_7,political_beliefs_conservative_8,attention_check_2,political_beliefs_9,political_beliefs_10,political_beliefs_11,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,purpose_guess,guess_certainty,start_time,end_time,total_time
1,1,0,0.4800491134,2,10,17,2,12,9,1,27,1,3,9,2,2,3,5,1,2,3,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,2,33,23,31,1,0,1,0,.,1,2018-06-12-19-03,2018-06-12-19-07,4
2,1,0,-6.229921209,2,22,27,2,16,16,1,27,1,3,9,11,4,1,5,1,1,1,5,1,5,1,1,5,5,5,5,3,3,2,5,5,5,5,1,5,1,1,1,1,3,1,2,30,25,45,1,1,0,0,Studying religious beliefs based on demopgraphics and political beliefs.~~,4,2018-06-09-17-06,2018-06-09-17-13,7
1,1,0,-12.02273665,1,6,23,1,12,12,2,27,1,3,9,2,2,1,5,1,2,3,2,2,1,1,1,1,1,1,1,3,1,2,5,3,3,3,1,1,1,1,1,1,3,2,2,1,1,1,0,1,0,0,To see how people feel about religion.,3,2018-05-30-17-05,2018-05-30-17-18,13
2,1,0,-0.3811354899,1,18,17,2,12,10,2,27,2,10,9,1,1,1,5,1,2,5,1,1,1,3,2,3,2,4,4,3,4,2,3,3,2,3,1,3,1,3,2,4,2,3,2,55,56,55,0,1,0,0,How religion impacts our daily behaviors.,4,2018-06-07-18-16,2018-06-07-18-19,3
1,2,0,-7.10002424,1,6,21,1,8,6,1,27,2,11,10,2,2,1,5,1,2,8,1,1,1,1,1,1,1,1,1,3,2,2,4,3,3,3,1,3,1,1,1,3,2,3,2,25,6,22,0,1,0,0,Does a person's beliefs influence whether they think a research article is accurate?,3,2018-06-09-17-58,2018-06-09-18-05,7
1,1,0,-8.240842212,1,14,27,1,2,1,1,27,1,12,11,1,2,1,1,1,1,4,2,1,2,1,1,3,2,3,4,3,1,3,4,5,5,5,1,1,1,1,5,1,1,5,2,11,1,1,0,0,1,0,It seems that the purpose of this study was to compare the link between one's religious beliefs and their view of the government.,2,2018-06-09-06-37,2018-06-09-06-51,14
1,1,0,-14.26579538,2,6,22,2,11,11,2,27,1,12,9,1,3,5,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,5,5,5,1,5,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,Political preferences,6,2018-06-12-19-00,2018-06-12-19-04,4
2,2,0,6.37644819,0,26,18,2,9,10,2,28,1,3,9,3,2,1,5,1,1,14,6,6,3,4,4,5,4,4,5,3,4,5,4,4,4,3,3,4,4,3,4,4,4,4,2,33,53,41,0,0,0,0,The purpose of this study was that they wanted to investigate or make a census of how much more or less people believed in God and another as soon as one believed that it was the best a child could be.,5,2018-06-21-18-36,2018-06-21-18-44,8
1,1,0,-9.592294006,1,6,20,1,16,16,1,28,1,4,8,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,1,2,1,1,1,3,2,3,2,1,1,1,0,1,0,0,Determine how a person feels about religion.,2,2018-05-30-18-17,2018-05-30-18-24,7
2,1,0,-3.897072806,2,14,21,2,14,15,2,28,1,4,9,1,3,5,5,1,1,13,2,1,4,2,2,3,3,1,3,3,2,2,2,4,4,3,5,3,1,2,2,3,1,3,2,4,15,19,0,1,1,0,Opinion on political events in the country,4,2018-06-21-19-57,2018-06-21-20-02,5
2,1,0,-0.1873969396,1,17,16,1,10,8,1,28,1,5,6,1,3,1,1,1,1,4,2,3,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,71,51,56,0,0,1,0,NOt sure,3,2018-06-21-17-53,2018-06-21-17-55,2
2,2,0,-0.3439308185,1,6,19,1,12,11,2,28,1,5,9,2,3,5,5,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,3,3,3,2,2,2,2,3,3,3,2,50,50,50,0,1,0,0,This is a research about how people view religions and current events.,4,2018-06-07-19-04,2018-06-07-19-10,6
1,2,0,-0.521127523,3,6,26,2,13,13,2,28,1,5,5,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,4,4,2,2,1,1,4,2,3,5,2,50,51,49,1,0,1,1,How different people feel about religion.,4,2018-06-09-16-35,2018-06-09-16-40,5
2,1,0,5.210334643,2,6,21,2,12,11,2,28,1,7,6,2,3,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,3,3,3,3,3,3,4,3,3,3,4,4,2,55,52,54,0,1,0,1,I do not know.,2,2018-06-02-15-55,2018-06-02-15-59,4
1,1,0,-12.58952794,1,18,28,2,13,12,1,28,1,8,10,1,2,1,1,1,2,6,2,1,1,3,3,3,3,3,3,3,1,1,5,5,3,5,1,3,1,1,1,1,1,1,2,1,1,1,0,1,0,0,How our political beliefs affect our views on parenting.,2,2018-06-22-03-38,2018-06-22-03-45,7
1,1,0,2.626781208,2,13,24,2,9,8,1,28,5,8,9,1,3,1,1,1,1,5,1,1,1,2,1,3,1,3,3,3,1,3,5,3,3,5,1,4,1,3,4,3,3,5,2,51,36,60,1,1,0,0,I think the purpose was to judge how everyday people view religion and public policy. Peoples opinions are not made in a vacuum but on a going scale. I don't think many American's fall in the black or white.,2,2018-06-09-16-58,2018-06-09-17-07,9
2,1,0,-9.782558129,1,11,25,2,3,14,1,28,6,10,11,1,2,1,1,1,2,2,1,2,1,1,1,1,1,3,4,3,1,1,5,3,3,4,1,2,1,1,1,1,1,4,2,10,5,30,0,1,0,0,Correlation between religious views and social opinions.,5,2018-06-08-16-57,2018-06-08-17-06,9
2,1,0,-9.11468168,1,9,21,2,15,16,1,29,1,5,9,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,3,2,2,4,3,3,3,1,3,1,1,1,2,1,2,2,6,6,50,0,1,0,0,"I believe this study was intended, at least in part, to measure any correlation between religiosity and social attitudes.",5,2018-06-07-18-02,2018-06-07-18-08,6
1,2,0,2.258415825,3,18,25,1,14,16,2,29,1,6,11,3,3,5,5,1,1,11,4,3,2,3,3,3,3,2,4,3,2,2,4,5,4,4,3,2,1,3,2,2,4,5,2,50,61,72,1,1,1,0,opinions regarding current political situation in the USA and parenting,3,2018-06-09-04-24,2018-06-09-04-30,6
2,1,0,-2.144417084,1,7,15,2,14,11,2,30,1,2,6,2,1,1,5,1,2,3,2,1,1,1,1,1,1,2,1,3,4,4,4,3,2,2,1,1,2,2,2,2,2,4,2,76,37,77,0,1,0,0,Studying views on religious belief in correlation with some psychological tendencies.,3,2018-05-30-19-46,2018-05-30-19-57,11
2,2,0,-10.66349462,1,16,26,2,9,14,2,30,1,3,9,3,2,5,1,1,2,1,3,2,1,1,1,1,4,5,4,3,1,1,5,3,4,4,1,2,1,1,1,1,1,4,2,9,5,4,0,1,0,0,Socio-political orientation and religion,3,2018-06-09-06-39,2018-06-09-06-45,6
1,2,0,0.3321177093,3,6,12,1,8,4,1,30,1,4,9,2,3,3,5,1,2,3,1,1,1,1,1,1,1,1,1,3,4,5,2,1,5,1,5,1,1,3,1,3,1,5,2,54,44,70,1,0,1,1,I'm not sure.,5,2018-06-13-02-17,2018-06-13-02-22,5
1,1,0,-2.628131386,2,11,20,1,6,2,2,30,1,4,9,1,3,2,5,1,2,6,1,1,1,1,1,2,1,3,3,3,3,2,5,3,2,3,3,3,1,1,1,3,2,4,2,42,33,45,0,1,0,1,"I think the article at the beginning of the study was false, or misleading. The researchers were probably trying to study my reactions given my religious disposition.",2,2018-05-30-17-37,2018-05-30-17-44,7
1,1,0,1.004943861,2,16,14,1,8,8,2,30,2,5,9,2,1,1,5,1,1,3,3,3,3,4,2,2,2,3,3,3,4,2,2,2,2,2,3,3,3,3,3,2,4,3,2,32,31,39,1,0,0,1,opions on culutre,3,2018-06-22-03-39,2018-06-22-03-41,2
1,1,0,5.214947288,2,23,22,1,14,12,2,30,1,5,9,8,2,2,1,1,1,14,4,4,3,4,5,2,5,4,3,3,1,4,5,2,4,4,1,3,2,2,4,5,4,4,2,73,56,76,0,1,1,0,The purpose of this research study is to investigate opinions regarding current events.~~~~,4,2018-06-03-05-44,2018-06-03-05-48,4
1,1,0,1.894505795,1,22,21,2,12,11,2,30,2,6,7,11,4,6,5,1,1,13,3,2,5,3,3,4,4,4,4,3,2,1,3,3,3,3,3,3,3,3,3,3,2,3,2,50,50,50,0,1,0,0,So get insights in the minds this generation,4,2018-05-30-20-52,2018-05-30-21-07,15
1,1,0,7.741469114,4,18,18,2,11,13,2,30,1,7,7,1,3,1,5,1,2,11,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,42,39,41,1,1,1,1,feelings towards others,2,2018-05-29-19-54,2018-05-29-20-00,6
1,1,0,-4.365596528,3,10,18,1,10,11,1,30,1,9,10,11,4,1,1,1,2,2,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,2,1,1,1,1,1,0,"The purpose of this study was to see if politics, parenting and beliefs has any differences or similarities.",2,2018-06-07-01-34,2018-06-07-01-57,23
1,2,0,-2.032807854,2,8,22,1,9,10,2,30,1,12,10,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,2,4,4,3,3,1,1,1,1,4,4,2,4,2,50,50,50,0,1,1,0,Measuring my political beliefs and seeing if I believe in god.,2,2018-06-09-04-50,2018-06-09-04-57,7
2,2,0,-1.512891466,2,16,19,2,13,13,2,31,1,2,9,1,3,2,5,1,2,5,1,3,1,3,3,3,3,2,2,3,3,2,1,5,2,4,2,2,2,3,2,1,4,4,2,26,40,51,0,0,1,1,n/a,3,2018-06-07-18-09,2018-06-07-18-14,5
2,1,0,-12.00451017,1,12,26,2,15,15,2,31,1,4,8,3,2,5,5,1,2,6,2,2,2,2,2,1,1,3,3,3,2,1,5,4,4,4,1,1,1,1,1,1,2,2,2,10,15,1,0,1,0,0,Determine how  peoples' bias affect whether they believe an article to be true or not.,3,2018-06-21-23-28,2018-06-21-23-41,13
1,2,0,3.690644673,2,15,14,2,14,12,2,31,1,5,9,11,1,1,5,1,1,12,2,2,1,2,2,2,2,3,4,3,4,2,2,2,2,2,2,4,2,1,4,4,2,5,2,60,60,60,0,1,0,1,Not sure,2,2018-06-07-02-17,2018-06-07-02-37,20
1,1,0,7.840768601,2,12,20,2,15,15,2,31,1,7,9,1,1,1,1,1,2,2,3,1,2,1,1,2,2,3,3,3,3,2,4,3,3,3,4,4,2,3,5,4,4,4,2,86,83,1,1,1,0,0,To see how a conservative or liberal people think about current events,3,2018-05-29-23-50,2018-05-29-23-58,8
2,1,0,5.229973752,2,8,23,1,4,9,2,31,1,11,12,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,3,5,3,5,4,5,4,1,4,5,2,4,5,2,45,15,32,0,0,1,1,"Sobre la religiÃ³n, y cuÃ¡les son los mejores valores para criar un niÃ±o",1,2018-06-21-19-54,2018-06-21-20-03,9
2,1,0,-10.08924034,1,6,26,2,9,12,2,32,1,1,9,1,3,1,5,1,1,13,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,1,3,1,1,1,5,1,1,1,2,1,1,1,0,1,0,0,I have no idea.,1,2018-05-30-17-07,2018-05-30-17-15,8
2,1,0,1.400288287,1,16,21,2,11,12,2,32,1,2,8,11,3,1,5,1,1,13,2,6,5,3,1,4,1,3,4,3,1,2,4,3,2,3,4,3,1,1,5,2,3,3,2,49,34,80,0,1,0,0,Religious beliefs and their impact on social views,2,2018-05-30-00-41,2018-05-30-00-50,9
2,2,0,-3.338888252,2,6,22,2,14,15,2,32,1,2,7,1,2,1,4,1,2,3,1,2,1,1,1,1,1,1,1,3,2,1,5,3,3,2,3,3,1,1,1,3,1,4,2,40,42,39,0,1,1,0,I think this survey regards people and their beliefs on religion and what they beleive people should act like.,5,2018-06-08-16-57,2018-06-08-17-01,4
2,1,0,-11.86277523,1,14,20,2,9,13,2,32,1,4,10,1,3,1,1,1,2,8,2,1,1,2,2,2,2,3,3,3,2,2,4,3,2,3,1,1,1,1,1,1,1,3,2,11,10,9,0,1,0,0,I think it is do compare religiosity with political sentiments.  It may tie into parenting as well.,3,2018-06-22-03-38,2018-06-22-03-46,8
1,2,0,10.2908062,3,10,22,2,12,11,2,32,1,5,9,1,1,1,5,1,2,5,1,1,1,1,1,2,2,2,2,3,2,2,5,3,3,3,4,4,1,1,5,5,5,5,2,85,65,94,1,1,1,0,"I'm not sure, but I'm thinking the study is just comparing what people's political views are based on their religious beliefs.",2,2018-06-09-17-26,2018-06-09-17-32,6
1,1,0,-7.961613503,3,18,21,2,3,3,1,32,1,11,7,9,2,3,1,1,1,14,4,2,5,2,2,3,4,3,4,3,2,2,4,3,3,3,1,4,1,1,2,2,1,4,2,2,1,2,1,1,1,0,getting opinions on current events,2,2018-05-30-16-07,2018-05-30-16-20,13
2,1,0,-13.42766166,3,18,22,2,12,14,2,33,1,5,10,11,2,3,5,1,1,12,3,1,4,2,1,3,3,4,5,3,2,4,4,4,4,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,Whether or not I think this country is in danger because it is secularizing,4,2018-06-03-05-44,2018-06-03-05-51,7
2,1,0,-3.465804997,3,6,25,2,15,16,1,33,2,7,9,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,2,2,5,5,4,3,1,4,1,2,4,4,2,3,2,10,10,10,1,0,1,1,I believe it was about religious and political beliefs,1,2018-06-08-18-37,2018-06-08-18-46,9
2,1,0,-10.21795163,1,6,29,2,15,15,2,33,1,7,7,1,3,1,5,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,5,4,5,5,1,3,1,1,1,1,1,3,2,13,7,9,0,1,0,0,It was to study how religious beliefs affect political views.,5,2018-05-30-15-39,2018-05-30-15-46,7
1,1,0,-13.04345503,1,10,22,1,3,3,1,34,1,6,9,2,2,6,5,1,2,5,1,1,1,1,1,1,1,3,3,3,2,3,5,5,4,1,1,1,1,1,1,1,1,1,2,15,12,13,0,1,0,0,Perception of God and how it ties into political opinions.,3,2018-06-09-04-48,2018-06-09-04-54,6
2,2,0,-4.552535368,1,8,24,2,8,6,1,34,5,7,10,1,2,1,1,1,2,3,1,1,1,1,1,2,1,1,2,3,1,1,5,3,3,3,1,2,1,1,2,2,3,4,2,39,37,38,0,1,0,0,I think it is about social and political aspects.,3,2018-06-22-03-38,2018-06-22-03-45,7
1,2,0,-2.203257844,2,16,14,2,10,11,1,34,1,7,9,1,2,1,5,1,1,9,2,1,2,2,2,2,2,4,4,3,4,2,2,2,2,2,4,4,1,1,2,4,1,4,2,21,21,21,1,0,1,0,I'm not sure. I guess it was about morals.,4,2018-06-12-18-48,2018-06-12-18-55,7
2,1,0,-6.107421333,2,6,23,2,13,15,2,34,1,10,9,2,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,5,3,3,3,1,3,1,1,1,1,2,2,2,55,36,63,0,1,0,1,I have no idea,2,2018-05-30-17-05,2018-05-30-17-11,6
1,1,0,-5.736591414,3,12,17,1,9,9,2,34,1,10,9,1,3,1,1,1,2,2,2,1,1,2,2,2,1,3,2,3,2,4,3,3,2,3,3,2,1,1,2,2,2,3,2,22,21,35,1,1,1,0,This was a study reading how people feel about recent events in the news.,3,2018-06-07-19-07,2018-06-07-19-17,10
1,1,0,-4.117749236,1,12,21,1,3,2,2,35,1,2,9,2,3,1,5,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,4,3,3,3,2,3,2,2,2,2,1,2,2,50,15,60,0,1,0,0,"Do people's political beliefs tend to skew more conservative after they were shown an article that said that atheists are a majority, but the religious are making a comeback?  Do other people's beliefs tend to skew more liberal after they were shown a similar article that said that the religious are a majority, but numbers of non-religious are increasing?",3,2018-06-03-05-11,2018-06-03-05-20,9
1,2,0,-6.035956673,2,6,20,2,16,13,2,35,2,2,5,2,2,1,5,1,2,3,1,1,1,1,1,1,1,1,1,3,2,3,4,4,2,3,1,3,1,1,2,1,1,3,2,29,54,53,1,1,0,0,ABout our views on religion and how we feel.,2,2018-05-29-20-18,2018-05-29-20-26,8
2,1,0,-13.42766166,1,20,21,2,11,12,1,35,5,4,9,1,2,1,1,1,1,9,2,1,2,3,3,4,3,3,4,3,1,2,4,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,0,1,0,0,Comparing our beliefs to how we feel about a change in the majority of religious/nonreligious people,3,2018-06-12-19-03,2018-06-12-19-11,8
1,1,0,10.77982252,1,6,24,2,11,10,2,35,1,4,6,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,5,3,3,3,2,2,3,4,5,5,4,5,2,95,70,100,1,0,0,0,How people view religion.,3,2018-06-11-19-38,2018-06-11-19-44,6
2,2,0,1.589727783,3,14,19,2,6,10,2,35,1,7,9,2,3,1,1,1,1,6,1,1,1,2,2,1,2,3,4,3,4,2,4,3,3,3,3,3,4,2,3,1,3,4,2,50,46,49,1,0,1,1,I think it was about our religious beliefs and how they effect us.,3,2018-06-07-19-04,2018-06-07-19-12,8
1,2,0,-4.999222093,1,6,20,1,5,5,2,36,1,3,9,2,2,5,5,1,2,2,1,1,1,1,1,1,1,1,1,3,2,2,4,2,2,4,2,3,2,2,2,2,2,4,2,10,10,10,1,0,0,0,How much do people trust information that go against their beliefs.,3,2018-06-09-07-14,2018-06-09-07-24,10
1,1,0,-6.600391498,1,14,25,2,9,6,2,36,1,6,9,1,2,1,5,1,2,3,2,1,1,2,2,2,2,3,3,3,2,1,5,4,3,4,2,4,1,2,2,2,1,3,2,8,6,9,0,1,0,0,How people view religiosity.,3,2018-06-21-18-53,2018-06-21-18-57,4
1,1,0,-11.1351363,0,6,20,1,5,5,2,36,1,10,9,1,2,1,5,1,2,3,2,1,1,1,1,1,1,1,1,3,3,4,5,4,1,5,1,1,5,1,1,1,1,1,2,2,4,6,0,0,0,0,How we judge religion and political issues,1,2018-06-03-00-15,2018-06-03-00-20,5
