variable,label,value_labels,scale,subscale,Keying,links
religious_identity_3,The religious group I belong to is unimportant to my sense of what kind of person I am.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,-1,NA
religious_identity_4,"In general, belonging to my religious group is an important part of my selfimage.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,1,NA
political_party,What is your political affiliation?,1. Republican 2. Democrat 3. Independent 4. Other,Demographics,NA,NA,NA
political_party_other,Other Political Party,string,Demographics,NA,NA,NA
ethnicity,What is your ethnicity?,1. White 2. Hispanic or Latino 3. Black or African American 4. Native American or American Indian 5. Asian / Pacific Islander 6. Other,Demographics,NA,NA,NA
ethnicity_other,Other Ethnicity,string,Demographics,NA,NA,NA
marital_status,What is your marital status?,1. Now married 2. Widowed 3. Divorced 4. Separated 5. Never married ,Demographics,NA,NA,NA
sexual_orientation,Do you consider yourself to be:,1. Heterosexual (straight) 2. Homosexual 3. Bisexual 4. Prefer not to answer,Demographics,NA,NA,NA
condition_threat,Experimental Condition: Video Shown,1. Control 2. CBS 3. FOX,NA,NA,NA,NA
video_first_click,First Click for Experimental Video,numeric,NA,NA,NA,NA
video_last_click,Last Click for for Experimental Video,numeric,NA,NA,NA,NA
video_page_submit,Time to Page Submit for Experimental Video,numeric,NA,NA,NA,NA
video_click_count,Count of Clicks for Experimental Video,numeric,NA,NA,NA,NA
what_was_the_message,"In general, what would you say is the message of the news clip you just watched?",string,NA,NA,NA,NA
accuracy_of_information,"On a scale from 1 to 11, how accurate do you think the information presented in the news clip was?",1. Not at all accurate 2. Somewhat accurate 3. Very accurate,NA,NA,NA,NA
message_threatening_to_me,"On a scale from 1 to 11, in general, how personally threatening did you find the information presented in the news clip?",1. Not at all 2. Somewhat 3. Very much,NA,NA,NA,NA
believe_the_message,"On a scale from 1 to 11, to what extent do you believe the information presented in the news clip is or was true?",1. Not at all 2. Somewhat 3. Very much,NA,NA,NA,NA
right_wing_authoritarianism_1,It's great that many young people today are prepared to defy authority.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_2,"What our country needs most is discipline, with everyone following our leaders in unity.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_3,"Students at high schools and at university must be encouraged to challenge, criticize, and confront established authorities.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_4,Obedience and respect for authority are the most important virtues children should learn.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_5,Our country will be great if we show respect for authority and obey our leaders.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_6,People should be ready to protest against and challenge laws they don't agree with.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_7,"Nobody should stick to the ""straight and narrow."" Instead people should break loose and try out lots of different ideas and experiences.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_8,"The ""old-fashioned ways"" and ""old-fashioned values"" still show the best way to live.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_9,"God's laws about abortion, pornography, and marriage must be strictly followed before it is too late.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_10,There is absolutely nothing wrong with nudist camps.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_11,"This country will flourish if young people stop experimenting with drugs, alcohol, and sex, and pay more attention to family values.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_12,There is nothing wrong with premarital sexual intercourse.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_13,"Strong, tough government will harm not help our country.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_14,"Being kind to loafers or criminals will only encourage them to take advantage of your weakness, so it's best to use a firm, tough hand when dealing with them.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_15,Our society does NOT need tougher government and stricter laws.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_16,"The facts on crime and the recent public disorders show we have to crack down harder on troublemakers, if we are going preserve law and order.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_17,"Our prisons are a shocking disgrace. Criminals are unfortunate people who deserve much better care, instead of so much punishment.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_18,"The way things are going in this country, it's going to take a lot of ""strong medicine"" to straighten out the troublemakers, criminals, and perverts.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
authoritarian_parenting_preferences_1,Authoritarian Parenting Preferences - Item # 1,1. that a child obeys his parents 0. that he is responsible for his own actions,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_2,Authoritarian Parenting Preferences - Item # 2,1. that he has good manners 0. that he has good sense and sound judgment,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_3,Authoritarian Parenting Preferences - Item # 3,1. that he is neat and clean 0. that he is interested in how and why things happen,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_4,Authoritarian Parenting Preferences - Item # 4,1. that he has respect for his elders 0. that he thinks for himself,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_5,Authoritarian Parenting Preferences - Item # 5,1. that he follows the rules 0. that he follows his own conscience,Authoritarian Parenting Preferences,NA,1,NA
political_dispositions_1,Political Dispositions - Item # 1,1. one should be cautious about making major changes 0. you will never achieve much in life unless you act boldly,Political Dispositions,Status quo conservatism,1,NA
political_dispositions_2,Political Dispositions - Item # 2,1. ideas that have stood the test of time are generally best 0. new ideas are generally better than old ones,Political Dispositions,Status quo conservatism,1,NA
political_dispositions_3,Political Dispositions - Item # 3,0. incomes should be made more equal 1. we need larger income differences as incentives for individual effort,Political Dispositions,Laissez faire conservatism,1,NA
political_dispositions_4,Political Dispositions - Item # 4,1. private ownership of business and industry should be increased 0. government ownership of business and industry should be increased,Political Dispositions,Laissez faire conservatism,1,NA
political_dispositions_5,Political Dispositions - Item # 5,0. the government should take more responsibility to ensure that everyone is provided for 1. people should take more responsibility for themselves,Political Dispositions,Laissez faire conservatism,1,NA
political_dispositions_6,There is a lot of discussion about how business and industry should be managed. Which of these four statements comes closest to your opinion?,2. the owners should run their businesses or appoint the managers 1. the owners and employees should participate in the selection of managers -1. the employees should own the businesses and elect the managers -2. the government should be the owner and appoint the managers,Political Dispositions,Laissez faire conservatism,1,NA
political_attitudes_1,The federal government has far too much power.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_2,"It is extremely important for a country to protect its borders, including implementation of strict regulations regarding immigration.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_3,Gun laws within the United States should be stricter.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_4,I am very worried about global warming and the consequences of climate change.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_5,Our healthcare system would be much better off if the Affordable Care Act (Obamacare) was repealed.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_6,The government should prioritize protecting the environment over developing energy.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_7,The death penalty should be an option for punishing those convicted of murder.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_8,Upper-income individuals pay too little in taxes.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_9,The ability for a women to obtain an Abortion should remain a legal right in the United States.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_10,The mass media is generally doing a good job in provided the public with trustworthy information.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_11,"The rights of religious individuals and institutions, which allow them to behave according to their beliefs, need to be further protected by the law.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_12,Please indicate where you would fall on the Liberal/Conservative spectrum GENERALLY?,0. Very Liberal 100. Very Conservative,Conservative Political Attitudes,NA,1,NA
political_attitudes_13,Please indicate where you would fall on the Liberal/Conservative spectrum when it comes to SOCIAL ISSUES?,0. Very socially liberal 100. Very socially conservative,Conservative Political Attitudes,NA,1,NA
political_attitudes_14,Please indicate where you would fall on the Liberal/Conservative spectrum when it comes to ECONOMIC ISSUES?,0. Very economically liberal 100. Very economically conservative,Conservative Political Attitudes,NA,1,NA
told_to_continue,Has the experimenter told you that you can continue?,1. Yes 2. No,NA,NA,NA,NA
puzzles_that_were_completed,"As you familiarized yourself with the task, which puzzles were you able to complete? Please select each puzzle that you were able to complete.",string,NA,NA,NA,NA
condition_tangram,"Experimental Group: Christian, Athiest, LGBTQ.",1. Christian 2. Athiest 3. LGBTQ,NA,NA,NA,NA
read_and_understood_instructions,I have read and understand the instructions.,1. Yes 2. No,NA,NA,NA,NA
tangram_choice_1,Choice 1: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_2,Choice 2: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_3,Choice 3: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_4,Choice 4: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_5,Choice 5: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_6,Choice 6: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_7,Choice 7: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_8,Choice 8: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_9,Choice 9: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_10,Choice 10: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
tangram_choice_11,Choice 11: Please now choose 11 ISI puzzles to give to your randomly selected group by clicking on the appropriate boxes below.,NA,NA,NA,NA,NA
purpose_of_study,"First, what do you believe was the purpose of the experiments?",string,NA,NA,NA,NA
additional_guess,"Second, did you perceive any purpose to the experiment, other than what was explained by the experimenter?  If so, what did you think the experiment was about?",string,NA,NA,NA,NA
which_group_iv,"Earlier, you were instructed to select tangram puzzles that would be used for our ISI measure in a specific population (group of people). What was that population?",string,NA,NA,NA,NA
conservative_political_attitudes_total_normalized,Conservative Political Attitudes - Total Score - Normalized,numeric,NA,NA,NA,NA
religious_identity,Religious Identity - Total Score,numeric,NA,NA,NA,NA
right_wing_authoritarianism_total,Right Wing Authoritarianism - Total Score,numeric,NA,NA,NA,NA
authoritarian_parenting_preferences_total,Authoritarian Parenting Preferences - Total Score,numeric,NA,NA,NA,NA
status_quo_conservatism_total,Status Quo Conservatism - Total Score,numeric,NA,NA,NA,NA
laissez_faire_conservatism_total,Laissez Faire Conservatism - Total Score,numeric,NA,NA,NA,NA
tangram_task_difficulty,Selected Tangrams - High scores indicate more difficult puzzles.,numeric,NA,NA,NA,NA
