start_date,end_date,duration,gender,age,employment,income,education,religious_affiliation,religious_identity_1,religious_identity_2,religious_identity_3,religious_identity_4,political_party,political_party_other,ethnicity,ethnicity_other,marital_status,sexual_orientation,condition_threat,video_first_click,video_last_click,video_page_submit,video_click_count,what_was_the_message,accuracy_of_information,message_threatening_to_me,believe_the_message,right_wing_authoritarianism_1,right_wing_authoritarianism_2,right_wing_authoritarianism_3,right_wing_authoritarianism_4,right_wing_authoritarianism_5,right_wing_authoritarianism_6,right_wing_authoritarianism_7,right_wing_authoritarianism_8,right_wing_authoritarianism_9,right_wing_authoritarianism_10,right_wing_authoritarianism_11,right_wing_authoritarianism_12,right_wing_authoritarianism_13,right_wing_authoritarianism_14,right_wing_authoritarianism_15,right_wing_authoritarianism_16,right_wing_authoritarianism_17,right_wing_authoritarianism_18,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,authoritarian_parenting_preferences_5,political_dispositions_1,political_dispositions_2,political_dispositions_3,political_dispositions_4,political_dispositions_5,political_dispositions_6,political_attitudes_1,political_attitudes_2,political_attitudes_3,political_attitudes_4,political_attitudes_5,political_attitudes_6,political_attitudes_7,political_attitudes_8,political_attitudes_9,political_attitudes_10,political_attitudes_11,political_attitudes_12,political_attitudes_13,political_attitudes_14,told_to_continue,puzzles_that_were_completed,condition_tangram,read_and_understood_instructions,tangram_choice_1,tangram_choice_2,tangram_choice_3,tangram_choice_4,tangram_choice_5,tangram_choice_6,tangram_choice_7,tangram_choice_8,tangram_choice_9,tangram_choice_10,tangram_choice_11,purpose_of_study,additional_guess,which_group_iv,conservative_political_attitudes_total_normalized,religious_identity,right_wing_authoritarianism_total,authoritarian_parenting_preferences_total,status_quo_conservatism_total,laissez_faire_conservatism_total,tangram_task_difficulty
1/24/2019 18:14,1/24/2019 18:40,1531,1,18,6,10,6,2,3,4,3,4,3,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,"It was describing the current whereabouts of a hurricane, and it was describing it's potential route up the west coast of florida.",4,1,7,7,2,8,7,6,9,7,1,1,5,6,9,7,3,4,3,3,8,1,0,0,1,0,0,1,0,1,0,1,3,6,5,7,5,6,6,6,5,2,6,34,15,54,1,1,1,2,3,4,8,10,12,16,18,20,24,28,30,"I think the purpose was see if I could connect two seemingly different topics together, and solve puzzles based on that.","Honestly, im not sure.",Athiests,0.6792519372,18,69,2,1,2,-1
1/24/2019 18:48,1/24/2019 19:16,1720,1,18,6,7,7,11,5,5,3,2,2,,1,,5,1,3,0,0,162.827,0,The Vp's religion was ridiculed. The people who ridiculed him thought it was okay because he was a christian. But when the pastor came on he made the point of how if the VP's religion was ridiculed for his belifes in a religion other than chirstiany the media would have been outraged.,8,4,8,6,2,7,2,3,9,9,3,1,5,3,9,7,4,8,4,6,4,0,1,0,0,0,1,1,0,1,1,2,5,3,7,7,4,7,1,7,7,3,3,32,16,35,1,1,2,1,3,4,6,9,14,18,19,20,21,28,29,To learn my political views,no,LGBTQ,-7.875813566,15,54,1,2,4,-1
1/25/2019 10:51,1/25/2019 11:19,1628,1,21,6,4,7,5,3,6,2,6,1,,1,,5,1,3,0,0,158.966,0,The VP  is Christian,6,1,6,5,7,4,6,5,3,4,4,7,2,8,7,3,7,3,6,4,6,1,1,0,1,0,0,0,1,1,1,2,5,6,4,4,5,4,6,5,1,3,4,55,61,62,1,"1,2",3,1,1,3,5,6,8,9,10,11,12,15,18,to show an understanding in spatial relations,perception of spatial relations,1,8.934163987,23,108,3,0,5,-7
1/25/2019 11:34,1/25/2019 12:02,1679,2,18,6,6,6,5,2,6,1,6,2,,1,,5,1,2,0,0,147.615,0,"The general message and purpose of this news clip, is to shed light on how religion (specifically Christianity) is becoming less and less of a norm.",8,8,8,7,5,7,6,5,8,9,4,7,5,4,6,6,7,4,5,3,6,1,1,1,1,1,1,0,0,1,0,1,4,5,5,7,2,7,5,6,5,2,6,30,25,30,1,"1,2",2,1,3,4,6,10,14,15,18,20,21,22,28,To gather information for testing large groups of people.,I did not seem to realize any other certain purpose for this experiment.,Christians,-3.091863904,25,83,5,1,2,-1
1/25/2019 12:05,1/25/2019 12:30,1519,2,20,6,1,7,1,7,1,7,1,3,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,Hurricane is going to hit the west coast of florida,11,1,11,5,5,5,2,3,9,5,5,1,5,2,9,5,5,5,5,6,5,0,0,0,0,0,1,0,0,1,1,-1,4,3,4,6,4,6,1,4,6,1,4,40,30,50,1,1,3,1,1,4,7,9,10,14,18,19,21,22,25,To see if there's a difference between a person's political beliefs and what they claim they believe,Not really,LGBTQ,-2.925240576,4,69,0,1,1,-2
1/25/2019 12:30,1/25/2019 13:01,1854,1,19,6,11,8,6,2,6,2,5,2,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,There is a hurricane coming and tornados can be a result and to warn the residents of Florida to be prepared as best as they can.,7,9,7,4,5,6,6,6,5,5,6,7,3,8,5,5,2,4,5,2,5,1,0,0,1,1,1,0,0,1,1,2,4,5,7,4,4,3,5,3,4,2,5,50,44,54,1,"1,2",1,1,3,9,11,14,15,16,18,21,23,27,30,To see how one's personal beliefs can influence how the react or treat others.,I think the experiment was to see how challenging it was and to see how challenging we would make it on someone else.,Athiests,8.875419519,23,100,3,1,4,2
1/25/2019 13:01,1/25/2019 13:59,3453,1,19,6,2,6,11,4,4,4,4,2,,5,,5,1,2,0,0,145.21,0,I think the news clip is saying that people should regain their faith.,5,3,6,6,5,8,1,5,7,7,4,4,5,4,5,8,8,5,7,2,5,0,1,0,0,1,1,1,1,1,0,1,4,4,4,5,4,5,5,3,5,4,3,0,0,1,1,"1,2",1,1,8,9,11,13,14,16,18,19,21,29,30,The survey of political direction and one's personal thoughts about the part of the life and intelligence.,I think the purpose of this experiment is to study about how people think and act in the recent society and some of their intelligence.,Christians,-5.643402488,16,78,2,2,3,1
1/25/2019 13:59,1/25/2019 14:30,1861,1,19,6,10,7,6,6,2,4,4,1,,1,,5,1,3,0,0,162.039,0,Religion will affect beliefs for people differently,4,1,4,7,5,6,7,6,8,6,4,4,3,6,7,3,8,4,7,4,4,1,1,0,1,1,1,0,1,1,0,2,5,5,4,5,5,5,4,4,7,5,5,50,50,50,1,"1,2",3,1,1,2,4,5,6,8,9,11,13,15,18,to relate intelligence to different groups of people,n/a,Aethic,1.077511835,12,90,4,1,4,-7
1/25/2019 14:30,1/25/2019 14:59,1690,1,22,6,1,7,6,3,5,2,5,2,,1,,5,1,2,0,0,142.042,0,A significant number of Americans are leaving organized religous groups. The message protrayed throughout is that this is a negative thing.,10,3,10,8,2,7,4,2,9,8,3,1,5,6,7,6,1,6,4,9,3,0,0,0,0,0,1,0,0,1,0,2,4,2,7,7,2,4,1,5,4,3,4,42,30,52,1,"1,2",2,1,1,2,3,4,5,6,7,8,9,10,11,Compare personal religious views/affiliations with understanding and opinions on current political issues related to religious topics.,College student affilation with religion and/or religious groups and how that affects political affiliation and understanding of politically and religiously charged issues.,LGBTQ population,-2.668012598,21,53,0,1,3,-10
1/25/2019 14:59,1/25/2019 15:31,1965,1,19,3,6,6,5,4,5,3,4,2,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,The people being effected by the hurricane should expect it to get worse,9,8,10,8,5,6,4,4,8,9,3,5,5,4,5,7,3,8,3,3,6,1,1,0,1,1,0,0,0,0,0,2,4,2,7,7,3,6,2,4,5,2,4,77,50,83,1,"1,2",1,1,6,11,14,21,22,24,26,27,28,29,30,See how different people respond to information and tasks,no,LGBTQ,1.308065383,18,73,4,0,2,7
1/25/2019 15:32,1/25/2019 16:00,1697,1,18,6,8,6,5,3,4,2,4,2,,1,,5,1,3,0,0,159.368,0,I would say the message is to tell society that they need to be more open and respectful of other's religions even if it is not their own belief.,6,6,6,8,2,7,8,5,9,7,1,1,5,5,7,5,4,6,5,5,4,1,0,0,0,1,1,0,0,1,0,1,6,4,6,7,4,7,3,2,7,2,7,20,2,30,1,1,2,1,2,4,5,8,12,14,18,19,25,28,30,To see how the participents view religion and social issues.,I did not perceive any purpose to the experiment other than what was explained by the experimenter.,Athiest,-0.8337812965,19,67,2,1,2,-1
10/1/2019 14:59,10/1/2019 15:35,2175,1,19,6,1,7,5,2,2,2,5,4,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,be aware of what is happening around you,10,1,9,8,5,8,8,6,8,8,2,1,8,4,9,4,4,4,4,6,2,1,0,0,0,0,1,1,0,1,0,2,4,6,7,7,3,6,7,6,7,2,4,40,3,60,1,,3,1,1,2,5,8,12,18,20,21,28,29,30,see how my views affect my answers,current events in america,LGBT+ people,-0.5142318967,19,63,1,2,3,0
10/1/2019 15:35,10/1/2019 16:35,3630,2,20,6,9,7,5,1,7,1,6,1,,1,,5,1,3,0,0,174.851,0,"Fox news was basically saying that the left is hypocritical. The pastor mentioned that if the TV show mentioned was slandering muslims (rather than christians), they would ""be fired instantly."" They were using this to attack the left.",5,3,5,3,4,4,5,5,4,4,3,8,1,4,1,6,7,4,8,3,6,1,0,0,1,1,0,1,1,1,0,2,4,5,6,3,4,5,2,5,1,2,4,65,70,50,1,,3,1,5,7,11,12,13,16,18,19,21,26,29,To see how religious beliefs and political affiliation affects decision making.,No,Atheists,7.085717229,27,106,3,1,4,1
10/11/2019 10:47,10/11/2019 11:17,1835,1,19,6,11,7,5,3,5,2,4,2,,1,,5,1,2,0,0,140.502,0,to not be s vocal about youre religoios beliefs if you are not conversative with your views,6,7,6,7,3,8,6,4,7,8,6,2,5,7,8,7,4,5,6,6,6,0,0,0,0,0,1,1,1,1,0,2,5,4,5,6,3,5,6,7,4,2,4,35,40,55,1,,2,1,1,2,3,4,5,6,7,8,9,10,11,to solve a puzzle,no,i odnt remember,0.8312848148,20,72,0,2,4,-10
10/11/2019 11:17,10/11/2019 12:31,4418,1,21,1,1,8,5,6,4,3,4,3,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,Hurricane is about to make landfall in Florida (Weather),9,8,9,6,5,6,5,5,9,8,5,1,6,5,9,5,8,6,6,5,6,1,0,0,1,0,1,1,0,1,0,1,5,5,6,6,4,6,6,6,6,3,5,25,30,5,1,"1,2",1,1,1,3,4,5,6,9,11,18,20,28,29,I have no idea,No,Christian,-1.655704045,15,76,2,2,2,-4
10/11/2019 12:31,10/11/2019 13:04,1971,1,20,6,11,7,2,6,2,4,3,2,,1,,5,2,2,0,0,138.649,0,Information about where hurricane Irma will hit and how strong it will be.,8,3,8,8,1,6,3,1,9,7,2,1,5,2,9,7,1,3,2,9,2,0,0,0,0,0,1,0,0,1,0,1,3,2,7,7,2,7,1,7,7,2,5,4,0,7,1,,3,1,3,4,8,14,16,17,19,23,27,28,30,Maybe to test if our beliefs would influence the level of difficulty of ISI puzzles we would give a certain group of people.,It was maybe about how our beliefs or values influence our decisions.,LGBTQ,-12.07541897,11,43,0,1,2,1
10/15/2019 15:02,10/15/2019 15:24,1337,1,19,6,2,7,6,5,3,3,4,1,,1,,5,1,3,149.399,149.399,160.704,1,Liberals are intolerant and it is shown through the example of the mockery of pence's religious beliefs,7,2,7,4,4,3,7,6,6,7,7,1,5,3,9,4,5,4,4,2,5,0,0,0,1,1,1,0,1,1,1,2,2,5,3,6,4,6,7,3,7,3,3,66,39,81,1,1,1,1,3,4,5,10,11,14,15,20,21,28,29,i honestly do not know,maybe how controversial topics affect ability to do difficult tasks,LGBTQ,-0.03567172752,15,88,2,1,5,-1
10/15/2019 15:25,10/15/2019 16:04,2340,1,18,1,12,5,5,4,2,3,4,1,,1,,5,1,3,141.945,160.687,161.492,2,Religion has had a decrease throughout the country.,8,1,8,5,5,7,8,6,8,8,4,2,5,3,5,5,9,4,7,1,7,0,1,0,1,1,1,0,0,1,0,2,4,2,5,2,4,5,5,4,5,1,5,50,70,54,1,2,2,1,3,8,10,11,12,17,18,21,23,29,30,How the brain works when processing different questions and how to put things together.,"The puzzle, that was hard to perceive and put the pieces together.",11,6.106273486,15,90,3,1,3,1
10/15/2019 16:05,10/15/2019 16:34,1787,1,21,6,8,7,1,6,2,6,2,2,,1,,5,1,2,99.228,99.345,137.091,2,"Informing viewers of the progress of the hurricane, and where it is going to hit next.",10,3,10,3,2,7,3,2,7,8,3,2,4,2,7,3,2,7,3,8,3,0,0,0,1,0,1,0,0,1,0,1,3,3,6,6,5,5,2,5,7,1,2,30,25,40,1,"1,3",2,1,1,2,3,5,6,7,8,9,10,11,12,"To look at different people's views and attitudes towards current events/hot topics; To look at how people do with the puzzles, and look at what puzzles might be given to certain populations.",Testing different people's skill level on the puzzles and connecting it to their views and attitudes on beliefs and hot topics.,Christians,-4.158516888,8,62,1,1,2,-9
10/16/2019 10:51,10/16/2019 11:19,1645,1,23,1,3,7,5,4,6,2,6,1,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,That people are less religious and the numbers are declining.,8,1,8,5,4,5,8,7,6,5,2,5,8,5,5,4,5,8,6,5,6,1,0,0,0,1,1,0,0,1,0,2,4,5,6,7,4,7,7,5,7,2,4,81,71,82,1,1,3,1,3,6,8,10,12,15,19,21,23,27,30,I dont know,no,christian,4.145062774,22,89,2,1,3,0
10/16/2019 11:19,10/16/2019 11:49,1806,1,18,6,12,3,6,2,6,2,6,1,,1,,5,1,3,159.157,159.157,161.563,1,people attacking christians but maybe wouldnt be so quick to judge other religions and their thoughts.,6,2,6,5,6,6,9,7,7,6,2,5,4,4,8,4,5,4,5,1,4,1,0,0,0,1,1,0,1,1,0,1,4,4,7,7,7,7,6,4,7,5,5,50,50,50,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,the idea of moving around the pieces and trying to figure out where they fit best,finding new ways to create something using different peices,11,0.9210318105,24,91,2,1,3,-9
