variable,label,value_labels,scale,subscale,Keying,links
right_ideology,Please indicate were you would fall on the Left/Right spectrum?,1. Very Left 11. Very Right,Political Beliefs,NA,NA,NA
god_belief,Do you believe in God?,1. No 2. Yes,Religiosity,NA,NA,NA
certain_of_god_belief,"In regards to your stated belief or unbelief in God, how certain are you?",1. Very Uncertain 2. Uncertain 3. Moderately Uncertain 4. Neutral 5. Moderately Certain 6. Certain 7. Very Certain,Religiosity,NA,NA,NA
importance_of_religion,How important is religion in your daily life?,1. Irrelevant 2. Very Unimportant 3. Unimportant 4. Important 5. Very important 6. Highest Importance,Religiosity,NA,NA,NA
religious_attendance,"Aside from weddings and funerals, how often do you attend religious services?",1. Never 2. Seldom 3. A few times a year 4. Once or twice a year 5. Once a week 6. More than once a week,Religiosity,NA,NA,NA
frequency_of_prayer,"Outside of attending religious services, how often do you pray?",1. Never 2. A few times a month 3. Once a week 4. A few times a week 5. Seldom 6. Once a day 7. Multiple times a day,Religiosity,NA,NA,NA
religious_affiliation,Please circle your religious affiliation.,1. Agnostic 2. Atheist 3. Buddhist 4. Chinese traditional 5. Christian 6. Christian (specifically Catholic) 7. Christian (specifically Protestant) 8. Hindu 9. Muslim 10. No religion 11. Sikh 12. Other,Religiosity,NA,NA,NA
belief_in_heaven,There is a heaven where people who have led good lives are eternally rewarded.,1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
belief_in_hell,There is a hell where people who have led bad lives and die without being sorry are eternally punished.,1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
belief_in_miracles,Religious miracles occur.,1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
belief_in_angels,Angels and demons are active in the world.,1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
belief_in_life_after_death,There is a life after death.,1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
belief_in_the_soul,"People have an immaterial soul, a part of themselves that is beyond their merely physiological and physical properties.",1. I strongly disagree 2. I disagree 3. I don't know 4. I agree 5. I strongly agree,Religious Beliefs,NA,NA,NA
not_naive,Did you participated in that previous study?,1. No 2. Yes,NA,NA,NA,NA
political_ideology_total,Political Ideology Score,numeric,NA,NA,NA,NA
religious_belief_total,Religious Belief Score,numeric,NA,NA,NA,NA
