id,threat,reading_comprehension_1,reading_comprehension_2,reading_comprehension_3,reading_comprehension_4,reading_comprehension_5,political_question_1,political_question_2,political_question_3,political_question_4,political_question_5,political_question_6,political_question_7,political_question_8,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,not_naive,political_ideology_total,religious_belief_total
18,1,2,2,1,1,2,4,3,4,4,2,6,7,3,1,19,48309,4,6,1,5,2,2,0,10,4,2,3,3,5,4,1,35,21
19,2,2,1,3,1,1,2,3,4,2,3,1,4,4,2,19,48237,6,6,2,7,6,3,6,5,5,5,5,5,5,3,1,23,28
20,2,2,1,3,3,2,3,5,2,5,2,2,7,2,2,18,0,4,4,1,2,1,4,1,12,5,3,3,3,4,4,1,36,22
21,1,2,2,1,1,1,4,3,4,3,4,5,4,4,1,19,49601,5,6,2,5,4,3,1,6,4,4,4,3,4,3,2,31,22
22,2,2,2,1,3,1,5,5,7,5,7,7,5,7,2,19,49961,11,11,2,4,3,4,4,8,4,3,3,2,4,4,2,36,20
23,1,2,2,1,1,1,2,2,3,4,2,1,4,4,2,19,49401,7,8,1,5,1,3,1,2,3,3,1,2,1,2,1,24,12
24,2,2,1,3,3,2,1,3,4,2,2,1,2,3,1,18,48386,7,7,2,5,5,5,5,7,5,3,4,4,5,4,2,20,25
25,2,2,1,3,3,1,3,3,4,2,2,5,4,4,1,18,48881,6,6,0,4,3,1,0,10,3,3,4,5,5,4,2,27,24
26,1,2,2,1,1,2,3,2,4,2,5,5,7,2,1,18,48176,4,5,2,6,4,3,1,6,5,5,5,3,4,4,1,34,26
27,2,2,1,3,3,1,3,3,4,2,3,3,4,4,1,18,48640,7,6,2,6,4,4,3,5,4,4,3,3,4,4,2,26,22
28,1,2,2,1,1,1,2,3,5,4,7,6,6,2,1,18,48301,10,10,1,2,1,1,1,12,3,4,3,3,3,4,1,37,20
29,2,2,1,3,1,1,2,5,2,2,2,1,2,6,1,18,48837,10,10,2,6,5,5,6,6,5,4,5,4,5,4,2,22,27
30,1,2,1,3,1,1,2,3,4,3,2,2,5,4,1,18,48503,4,10,2,1,5,4,6,5,5,5,4,4,4,4,2,25,26
31,2,2,1,3,3,1,2,5,3,2,4,1,1,7,2,18,48357,11,11,2,6,4,4,2,7,5,1,4,4,4,3,2,21,21
32,1,2,2,1,1,2,2,2,4,3,2,2,3,4,1,18,48439,5,5,2,6,4,4,5,6,5,1,4,3,3,3,2,22,19
33,1,2,2,1,1,2,2,3,4,3,6,4,5,2,2,18,60652,4,4,2,6,4,3,3,5,5,3,4,4,4,4,1,33,24
34,1,2,2,1,1,1,3,2,4,3,3,3,4,4,1,18,48507,5,8,2,7,4,2,3,6,5,5,4,4,4,4,1,26,26
35,1,2,1,1,1,1,2,3,4,3,2,2,4,4,1,18,49855,4,6,2,3,3,2,0,12,3,3,4,2,4,4,1,24,20
36,1,2,2,1,1,1,3,3,4,3,2,1,4,4,1,18,48051,6,11,2,6,4,2,3,999,5,4,5,4,5,3,2,24,26
37,1,2,2,1,1,1,3,4,3,2,4,2,4,5,2,19,49417,9,9,2,7,5,5,5,5,2,3,5,5,5,5,1,27,25
38,2,2,1,3,3,1,3,4,4,3,3,3,4,5,1,19,49319,9,9,2,3,3,3,1,5,4,2,4,4,3,4,2,27,21
39,2,2,1,1,3,1,1,2,4,5,4,3,5,3,1,18,48706,4,4,2,5,4,4,5,5,3,3,4,3,3,3,2,29,19
40,1,2,1,3,1,1,4,3,7,3,3,1,4,4,1,19,60543,5,999,2,5,3,2,4,6,1,3,1,1,1,3,2,23,10
41,1,2,2,1,1,1,1,5,3,1,2,1,6,4,1,18,22405,3,3,2,6,4,3,3,5,5,4,4,4,4,4,1,25,25
42,1,2,2,1,1,1,2,4,7,4,5,4,5,5,2,18,48111,6,6,2,7,4,3,3,6,5,5,5,5,5,4,1,28,29
43,1,2,2,1,1,2,3,3,7,3,3,3,1,7,2,19,49855,2,10,2,7,6,5,6,5,5,5,5,5,5,5,1,18,30
44,1,2,2,1,1,2,2,3,2,2,1,2,6,1,1,18,48197,2,2,2,4,4,3,2,6,4,4,4,4,4,3,2,29,23
45,2,2,1,3,3,2,4,3,6,4,4,2,5,4,2,18,48183,5,5,2,4,3,1,4,6,4,3,4,3,4,2,1,28,20
46,1,2,2,1,1,1,3,3,3,2,2,2,2,4,1,21,48642,8,9,2,1,5,3,6,5,2,4,5,5,4,4,2,23,24
47,2,2,1,3,1,1,2,4,3,2,3,3,4,4,1,19,60142,4,11,2,7,5,4,2,5,5,5,5,5,5,4,2,27,29
48,1,2,2,1,1,1,3,3,4,3,4,1,4,4,1,18,48188,6,6,2,5,3,1,1,6,4,4,3,3,3,3,2,26,20
49,2,2,1,3,3,2,4,1,4,2,1,6,7,1,1,18,48239,1,1,2,7,5,3,3,5,1,3,4,3,3,3,1,32,17
50,1,2,2,1,1,2,5,3,5,4,3,4,3,6,2,18,48837,6,7,2,7,5,5,5,5,4,4,5,4,5,2,1,27,24
51,2,2,1,3,3,2,3,2,3,4,3,6,4,4,1,18,48060,5,5,2,5,3,1,4,1,3,3,2,4,4,4,1,31,20
52,1,2,2,1,1,2,5,1,6,5,1,5,6,2,1,20,48748,2,1,1,6,3,2,4,1,3,2,1,1,3,3,2,31,13
53,2,2,1,3,3,1,3,4,4,3,2,3,4,4,1,20,49735,7,9,2,5,2,1,1,5,4,2,4,2,3,3,1,27,18
54,1,2,2,1,1,1,2,1,3,3,3,4,4,4,1,19,49202,6,7,2,7,4,4,4,6,5,4,4,4,4,3,1,26,24
55,2,2,1,3,3,2,4,2,4,2,4,2,4,4,2,18,48038,6,6,2,5,1,2,1,6,3,3,3,2,3,4,1,26,18
56,2,2,1,3,3,1,3,2,4,5,2,2,4,4,1,19,48462,4,4,2,7,5,4,5,6,5,5,5,5,5,5,2,26,30
57,1,2,3,2,1,1,2,3,3,2,5,5,3,3,3,17,48035,10,7,2,3,6,6,6,12,1,1,1,1,1,1,1,30,6
58,2,2,1,3,3,2,3,2,4,4,4,4,4,4,2,18,48889,6,6,2,4,3,1,4,10,4,3,4,3,4,3,1,29,21
59,1,2,2,1,1,2,3,3,4,2,4,1,4,4,1,19,48158,6,6,2,7,6,4,5,5,5,5,5,5,5,5,2,25,30
60,2,2,1,3,3,2,4,2,1,5,1,4,6,3,1,19,49058,5,6,1,5,1,2,4,1,2,2,1,1,3,3,2,34,12
61,1,2,2,3,1,2,3,5,4,4,3,1,3,3,2,18,48045,7,5,2,6,4,4,3,5,4,3,5,5,3,4,2,28,24
62,2,2,1,3,3,1,5,2,4,4,2,2,4,4,2,18,48170,6,6,1,2,1,1,4,2,2,2,1,2,3,3,1,27,13
63,2,2,1,3,3,1,3,3,4,2,1,1,3,4,1,19,48224,9,11,2,4,4,2,5,12,4,4,5,5,5,3,2,21,26
64,2,2,1,3,3,2,2,2,5,3,1,3,4,4,2,23,60620,6,11,2,5,3,1,1,10,5,1,4,3,5,3,1,22,21
65,1,2,2,1,1,1,3,3,4,3,1,3,6,1,2,18,48823,3,3,1,1,4,2,5,5,3,3,4,3,3,3,1,30,19
66,1,2,2,1,1,1,3,3,4,4,4,6,3,5,1,18,49712,7,7,2,6,4,4,5,6,4,4,5,4,5,5,2,30,27
67,1,2,2,1,1,2,3,3,4,4,1,5,6,2,1,19,48823,3,3,1,2,1,1,4,10,3,3,3,3,3,3,2,32,18
68,2,2,1,3,3,2,4,4,3,5,3,1,6,2,2,18,48082,3,8,1,7,2,1,1,2,3,3,4,1,3,3,2,34,17
69,1,2,2,1,1,1,3,4,4,2,3,4,5,5,1,18,49776,6,6,2,5,3,3,3,6,4,4,4,4,3,4,1,28,23
70,2,2,1,3,1,1,4,2,4,3,4,7,5,2,1,20,49461,4,6,2,5,2,1,4,5,4,1,3,3,4,3,2,35,18
71,2,2,1,3,3,2,3,4,4,3,4,2,4,4,2,18,48050,5,5,999,2,3,2,4,6,3,3,3,3,4,4,2,28,20
72,1,2,2,1,1,2,2,3,4,3,3,2,3,3,2,18,48158,6,7,2,5,3,2,1,5,4,2,3,3,3,3,1,25,18
73,2,2,1,3,1,1,3,3,4,2,4,3,4,4,2,18,48327,6,6,2,4,3,2,0,5,3,3,3,3,3,3,1,27,18
74,1,2,2,1,1,2,4,2,2,4,1,4,6,2,1,20,49915,2,3,1,2,1,1,0,2,1,1,2,1,3,3,1,33,11
75,1,2,2,1,1,2,3,2,4,4,3,1,6,3,2,23,48089,6,6,1,4,3,2,4,1,2,2,3,1,3,3,1,28,14
76,2,2,2,3,3,1,1,2,4,4,1,3,4,4,1,19,49224,6,6,2,7,5,3,1,6,5,5,4,4,5,5,2,23,28
77,2,2,1,3,3,2,4,2,2,3,4,3,6,2,1,18,48603,4,4,2,3,3,2,4,6,4,4,3,3,3,3,2,34,20
78,1,2,2,1,1,2,1,2,2,4,2,6,6,2,1,19,48642,3,3,2,5,3,3,3,5,4,5,3,4,5,5,1,33,26
79,2,2,1,3,3,2,2,2,4,4,4,2,4,4,1,18,49112,8,8,2,5,4,3,3,7,4,4,3,2,4,4,1,26,21
80,2,2,1,3,3,2,3,3,4,3,4,4,4,4,1,19,48858,6,8,2,6,4,4,1,5,3,3,4,3,3,3,1,29,19
81,1,3,2,2,1,1,2,1,3,3,1,1,3,4,1,18,48138,7,6,2,7,5,4,3,6,5,5,5,5,1,3,1,20,24
82,2,2,1,3,3,2,2,3,4,2,1,4,3,3,1,18,48732,6,6,999,4,1,2,0,1,5,3,3,5,5,5,2,24,26
83,1,2,2,1,1,2,3,3,4,4,4,5,5,3,2,19,48130,5,5,1,5,2,1,1,3,3,1,1,1,4,4,2,33,14
84,2,2,1,3,1,1,2,2,3,1,5,1,4,4,1,18,60642,6,6,2,3,4,2,3,12,3,4,5,5,3,5,2,24,25
85,2,2,1,3,3,1,3,3,3,2,2,3,4,4,1,18,48430,5,6,2,6,5,5,5,5,5,3,5,4,5,4,2,26,26
86,1,2,2,1,1,2,3,3,5,5,3,7,6,2,2,18,48312,4,4,2,5,1,1,1,5,4,4,4,4,5,5,1,36,26
87,1,2,2,1,1,1,4,2,3,5,1,3,6,2,1,19,48519,3,6,1,2,1,2,4,10,3,3,4,3,4,4,2,32,21
88,2,2,1,3,3,2,4,3,3,3,4,4,3,3,2,19,48858,7,7,1,2,1,1,5,10,3,2,3,2,3,3,1,31,16
89,1,2,2,1,1,2,3,3,4,3,3,5,4,4,2,19,48609,6,6,2,3,3,3,4,6,3,3,3,4,4,3,1,29,20
90,1,2,2,1,1,2,5,1,4,3,3,4,7,1,2,18,48617,1,1,1,7,1,1,0,2,1,1,1,1,1,1,2,34,6
91,1,2,2,1,1,1,3,3,5,3,3,3,3,5,2,18,53224,8,6,2,7,5,5,5,5,5,5,5,4,5,5,2,24,29
92,2,2,1,3,3,2,4,3,3,3,2,2,3,5,2,19,49326,6,6,2,5,4,4,3,6,4,4,3,4,4,4,1,25,23
93,2,2,1,3,3,2,4,2,3,5,3,6,5,5,2,23,48265,5,5,1,4,3,3,0,1,3,2,3,2,3,3,1,33,16
94,1,2,2,1,1,2,4,3,4,2,4,4,2,5,1,18,45434,8,7,1,6,1,1,1,10,2,2,1,3,4,5,1,26,17
95,2,2,1,3,3,1,3,5,4,3,2,2,3,6,2,19,48838,6,6,2,6,3,2,1,6,3,3,4,4,3,3,1,24,20
96,1,2,2,1,1,2,4,2,6,5,1,6,7,2,1,19,49548,2,5,1,7,1,1,4,3,1,1,1,2,3,4,2,33,12
97,1,2,2,1,1,2,3,3,4,5,3,2,4,4,2,19,48185,6,6,2,5,4,3,1,6,5,4,4,4,5,3,2,28,25
98,2,2,1,3,3,2,3,3,4,3,2,3,4,4,1,18,48346,4,4,1,7,1,1,0,1,3,3,1,3,3,2,2,26,15
99,2,2,1,3,3,1,2,4,4,2,3,3,4,4,1,18,48360,7,7,2,6,4,5,5,5,4,2,4,3,4,4,2,26,21
100,2,2,1,3,3,1,3,2,4,2,4,4,4,4,1,18,48335,6,6,2,7,6,5,6,5,2,4,5,5,5,4,2,27,25
101,1,2,2,1,1,1,3,2,4,3,3,1,3,3,1,19,48436,6,6,2,2,4,2,2,5,4,2,5,4,4,5,2,24,24
102,2,2,1,3,3,1,3,4,4,3,3,3,2,6,2,18,44315,10,7,2,6,4,2,3,5,4,4,4,4,4,3,2,24,23
103,2,2,1,3,3,1,4,3,4,2,4,1,4,4,1,18,49546,6,5,2,4,3,3,0,5,3,3,4,4,5,4,2,26,23
104,1,2,2,1,1,2,4,4,3,5,3,2,1,5,2,19,90640,3,3,2,7,4,4,2,5,4,4,4,4,4,5,2,27,25
105,1,2,2,1,1,1,3,3,4,3,3,2,2,4,1,20,48446,8,7,2,7,4,4,6,5,5,3,5,5,5,5,2,24,28
106,2,2,1,3,3,1,3,3,7,4,6,5,3,3,1,20,48732,5,5,2,7,4,1,5,5,3,3,4,3,4,4,1,30,21
107,1,2,2,1,1,2,4,4,7,4,2,1,3,3,1,19,48732,7,5,1,6,1,1,0,1,2,2,2,3,3,3,1,24,15
108,2,2,1,3,3,1,1,1,4,3,4,5,4,3,1,18,48116,5,5,2,5,4,4,2,6,4,4,4,4,3,3,1,27,22
109,2,2,2,1,1,1,5,2,4,4,3,1,2,3,2,19,48307,7,7,1,7,1,1,0,2,1,1,1,1,1,1,1,26,6
110,1,2,2,1,1,1,3,3,4,3,4,1,4,4,2,19,48858,7,7,2,4,3,3,4,5,3,3,3,3,3,3,2,26,18
111,2,2,1,3,3,1,4,2,3,5,1,3,6,3,2,21,48081,3,5,1,3,3,3,4,10,3,3,3,3,3,4,2,31,19
112,1,2,2,1,1,1,4,3,4,2,2,3,6,3,1,18,48375,3,5,2,5,3,3,3,5,2,4,3,3,3,3,1,29,18
113,1,2,2,1,1,2,3,3,4,3,2,2,4,4,1,18,48312,5,5,1,3,3,2,1,10,3,3,3,3,4,4,1,25,20
114,1,2,2,1,1,2,3,4,4,4,3,2,6,2,2,19,49426,3,8,2,1,1,1,4,1,3,3,3,4,4,4,1,32,21
115,1,2,2,1,1,1,3,3,3,2,3,1,4,4,2,18,48073,8,6,2,5,3,1,1,6,4,1,4,3,4,4,1,25,20
116,2,2,1,3,2,1,2,3,2,1,3,1,1,7,2,18,49646,9,6,2,7,4,3,3,5,5,5,5,4,5,3,2,18,27
117,1,2,2,2,1,1,3,2,4,3,3,2,5,5,1,19,48603,5,4,2,7,4,4,1,5,5,3,4,3,4,4,2,25,23
118,2,2,1,3,3,1,2,3,7,3,3,2,2,7,2,18,48381,10,10,1,5,3,1,0,2,2,2,2,2,3,1,1,17,12
119,1,2,2,1,1,1,4,4,5,4,5,6,6,3,2,18,48375,4,5,2,4,3,3,1,5,3,4,3,3,4,3,1,37,20
120,2,2,1,3,1,1,4,4,4,2,2,4,5,4,1,18,48602,3,999,2,7,4,4,1,12,2,2,3,4,4,4,1,29,19
121,1,2,2,1,1,1,4,2,4,2,4,1,4,4,2,18,48035,6,6,2,7,4,3,5,5,4,4,5,5,5,5,1,25,28
122,1,2,2,1,1,2,3,2,5,4,1,4,4,4,1,18,48601,4,4,2,2,3,1,0,12,3,3,3,4,5,5,1,25,23
123,2,2,1,3,3,1,3,4,1,3,1,4,5,2,2,27,49310,1,1,2,4,3,2,1,12,3,3,3,3,3,4,1,33,19
124,2,2,1,3,3,1,3,3,3,4,2,2,7,3,2,19,48170,4,5,1,7,1,1,0,2,1,1,1,1,1,1,1,31,6
125,1,2,2,1,1,1,5,1,2,5,1,4,6,2,2,23,49106,3,3,2,6,1,1,4,5,4,4,4,1,4,3,1,34,20
126,1,2,2,1,1,1,5,3,4,4,2,4,4,4,1,18,48313,6,6,2,6,4,3,3,6,4,4,4,3,3,3,2,30,21
127,2,2,1,3,3,1,5,2,4,5,4,2,6,3,1,18,48316,2,9,2,3,4,3,3,6,5,3,5,4,5,4,2,33,26
128,2,2,1,3,3,2,5,3,4,2,1,4,7,1,1,18,48085,3,6,2,7,5,3,3,6,5,4,4,4,3,3,2,33,23
129,1,2,2,1,1,2,1,2,5,5,3,2,3,5,2,19,48390,9,4,1,7,1,1,4,10,3,3,3,3,3,5,2,22,20
130,2,2,1,3,3,1,2,3,4,2,4,5,4,4,1,19,48074,5,8,2,5,3,2,4,6,4,4,3,3,4,3,1,28,21
131,1,2,2,1,1,2,4,1,4,3,4,2,4,2,1,20,48150,4,6,2,7,4,4,3,6,5,2,5,4,4,4,2,28,24
132,2,2,1,3,3,1,3,3,4,2,4,4,2,5,1,20,48150,9,9,2,5,3,3,4,6,3,3,4,3,3,3,2,25,19
133,1,2,2,1,1,2,5,1,5,4,7,5,7,1,1,19,48185,1,2,2,5,4,3,5,6,4,4,5,4,5,4,2,39,26
134,2,2,1,3,1,1,2,2,4,3,2,2,5,3,1,19,48917,4,3,2,5,4,3,2,6,4,2,3,3,4,4,2,25,20
135,1,2,2,1,1,2,3,3,4,1,1,1,4,4,2,18,48197,1,1,2,6,4,3,1,6,4,4,4,4,4,3,1,21,23
136,2,2,1,3,3,1,3,3,3,3,2,2,4,4,2,18,43169,9,9,2,5,3,3,1,6,3,3,3,3,3,3,2,26,18
137,2,2,1,3,3,1,3,3,4,3,4,2,4,4,2,18,49202,6,6,1,5,1,2,0,10,3,3,2,2,3,3,1,27,16
138,1,2,2,1,2,1,3,3,4,4,4,6,4,4,2,17,35025,7,6,2,6,4,3,3,5,5,5,4,4,5,4,2,32,27
139,2,2,1,3,3,1,4,2,3,5,1,4,6,2,2,18,60184,4,4,1,6,1,1,0,2,1,1,1,1,3,3,1,33,10
140,1,2,2,1,1,2,3,3,4,2,4,4,4,4,1,19,49508,6,6,1,6,3,1,999,12,5,3,3,3,5,3,2,28,22
141,1,2,2,1,1,2,4,3,6,4,4,6,3,5,2,18,48430,6,6,2,5,3,3,1,5,4,4,3,4,4,3,1,29,22
142,2,2,1,3,3,2,3,3,3,3,2,5,4,2,1,20,48655,2,3,1,5,1,2,4,1,3,3,5,3,3,4,2,31,21
143,2,2,1,3,3,2,3,2,4,4,2,3,4,4,2,23,48858,6,6,2,6,5,6,6,5,5,4,4,4,5,4,1,26,26
144,2,2,1,3,3,1,3,5,7,3,4,2,1,7,1,18,99611,10,10,1,2,1,2,0,1,3,3,2,2,3,3,1,20,16
145,2,2,1,3,3,1,4,2,4,2,5,3,4,4,2,19,48642,5,6,2,7,5,2,1,5,5,5,5,4,5,5,1,28,29
146,1,2,2,1,1,2,3,4,4,2,3,1,3,3,1,18,48601,6,6,2,7,4,4,3,10,4,4,5,4,4,4,1,25,25
147,2,2,1,3,3,1,3,2,4,3,2,1,4,4,2,18,36695,8,6,2,1,2,3,6,5,5,5,3,5,5,4,1,23,27
148,2,2,1,3,3,1,3,3,4,2,2,4,4,4,2,18,48004,6,4,2,7,4,3,5,5,5,4,3,3,4,3,2,26,22
149,2,2,1,3,3,1,5,3,2,3,5,4,3,3,2,19,60543,6,6,2,5,4,3,4,5,5,5,4,4,5,4,2,34,27
150,1,2,2,1,1,1,4,2,4,3,4,6,4,4,2,18,48917,7,7,2,7,4,5,5,7,4,4,4,3,4,4,2,31,23
151,2,2,1,3,3,2,4,2,3,4,5,5,6,2,1,19,48085,5,5,2,5,4,3,1,5,4,2,3,3,4,4,1,37,20
152,1,2,2,1,1,1,4,2,3,3,4,2,1,6,1,18,48178,9,11,2,7,4,1,4,7,5,4,4,3,4,3,2,23,23
153,1,2,2,1,1,1,2,4,4,3,2,4,4,4,1,18,48708,6,6,2,6,4,3,0,6,3,3,3,3,3,3,2,27,18
154,2,2,1,3,1,1,2,3,4,3,5,4,4,3,1,18,48638,5,5,2,6,4,3,1,5,3,3,3,3,4,4,1,30,20
155,2,2,1,3,1,1,4,4,4,4,4,4,5,2,2,18,48239,3,1,2,4,2,2,3,7,3,3,4,2,4,3,1,35,19
156,1,2,2,1,1,2,3,3,3,4,1,1,7,7,2,18,48323,6,6,2,7,6,2,1,5,5,5,5,3,5,3,1,25,26
157,1,2,2,1,1,1,3,4,4,3,3,3,4,4,1,18,48532,6,999,2,4,1,1,4,3,3,1,4,3,5,5,1,28,21
158,2,2,1,3,3,1,3,3,4,2,1,1,2,1,1,18,48602,8,10,2,7,5,4,4,5,5,5,5,5,5,4,2,23,29
159,1,2,2,1,1,2,3,2,4,4,1,4,6,2,2,19,48602,3,3,2,7,5,4,5,6,5,4,5,4,5,5,2,30,28
160,1,2,2,1,1,1,3,2,4,2,1,2,4,4,1,19,46783,3,5,2,6,4,5,5,7,5,4,5,3,5,3,1,22,25
161,1,2,2,1,1,2,3,4,4,2,4,4,2,6,1,18,48152,10,6,2,7,6,6,6,6,5,4,5,4,5,3,2,25,26
162,2,2,1,3,1,1,3,2,3,3,2,4,3,2,2,18,48767,11,6,2,7,6,6,6,6,5,5,5,5,5,5,1,28,30
163,2,2,1,3,1,1,5,5,1,5,1,4,6,3,1,20,48117,2,3,1,1,1,2,4,10,3,3,1,1,3,2,2,38,13
164,2,2,2,3,1,1,2,1,2,2,1,1,2,2,1,19,48161,6,6,2,2,3,5,1,5,5,4,4,4,5,4,1,21,26
165,1,2,2,1,1,2,5,2,3,5,2,3,6,2,2,18,49201,3,3,1,2,2,3,4,1,3,2,4,2,3,4,2,34,18
166,1,2,2,1,1,1,4,3,4,3,1,6,6,2,1,19,48158,3,3,2,5,4,3,2,5,4,4,4,3,5,4,2,33,24
167,1,2,2,1,1,1,5,2,2,4,6,6,7,1,1,18,48017,1,2,1,6,1,1,4,10,3,3,3,3,3,3,2,43,18
168,1,2,2,1,1,2,2,2,4,3,1,2,4,4,1,18,48237,6,11,2,7,4,3,5,5,5,5,5,5,5,3,1,22,28
169,2,2,1,1,3,1,4,2,4,3,3,2,5,2,1,18,48855,3,3,2,6,4,4,2,5,4,3,3,2,4,3,1,29,19
170,1,2,2,1,1,2,4,5,4,3,3,1,2,5,2,18,48843,8,8,2,5,3,3,1,6,4,3,4,3,4,4,2,25,22
171,2,2,1,3,3,1,3,4,4,3,3,3,4,4,2,18,49969,6,6,2,3,1,1,4,6,4,4,3,4,4,3,2,28,22
172,2,2,2,3,1,1,2,3,3,4,2,4,4,4,1,19,48239,5,5,2,6,4,3,6,5,4,4,4,4,4,4,2,28,24
