id,iv1_write,iv1_text,iv2_threat,threatened,bullshit_receptivity_scale_1,bullshit_receptivity_scale_2,bullshit_receptivity_scale_3,bullshit_receptivity_scale_4,bullshit_receptivity_scale_5,bullshit_receptivity_scale_6,bullshit_receptivity_scale_7,bullshit_receptivity_scale_8,bullshit_receptivity_scale_9,bullshit_receptivity_scale_10,bullshit_receptivity_scale_11,bullshit_receptivity_scale_12,bullshit_receptivity_scale_13,bullshit_receptivity_scale_14,bullshit_receptivity_scale_15,bullshit_receptivity_scale_16,bullshit_receptivity_scale_17,bullshit_receptivity_scale_18,bullshit_receptivity_scale_19,bullshit_receptivity_scale_20,bullshit_receptivity_scale_21,bullshit_receptivity_scale_22,bullshit_receptivity_scale_23,bullshit_receptivity_scale_24,bullshit_receptivity_scale_25,bullshit_receptivity_scale_26,bullshit_receptivity_scale_27,bullshit_receptivity_scale_28,bullshit_receptivity_scale_29,bullshit_receptivity_scale_30,brs_not_naive,age,gender,god_belief,certain_of_god_belief,prayer_frequency,prayer_duration,religious_attendance,religious_affiliation,previous_knowledge,purpose_guess,purpose_guess_certainty,start_time,end_time,brs_total
14,1,"Yesterday, I woke up at 6:00 a.m. and drank two cups of coffee. I always drink two cups of coffee when I awake, because the caffeine gives me that early morning rush I need to move quickly. Once my caffeine sets in, I do some housework. I normally feed the rabbits first, and then I refill their water bottles. If any of the rabbits have a dirty cage, I clean their bedding or litter, depending on what the rabbits are trained to use. After the rabbits are taken care of, I do the dishes from the previous night's dinner. Then I vacuum the living room and front room and spray the house with Febreze before I leave for work. I leave for work at 7:25 a.m., so it essential that I get everything done before I leave for work. I absolutely hate coming home from work and having to do more work (i.e. housework). After work, I usually come home and water my plants. I have a garden in which I grow ornamental corn, pumpkins, gourds, tomatoes, and peppers, and if you know anything about gardens, any kind of squash is a very heavy drinker. They need a good deep watering at least every other day. I also have a sunflower patch that I water, which is located adjacent to the garden. They are heavy drinkers also. Lastly,  water my ninebark bush in the front yard, because it starts wilting as soon as it gets dehydrated.",2,0,5,1,4,3,1,1,5,4,2,1,1,1,5,2,4,2,2,4,1,5,4,1,5,1,3,4,5,3,4,3,0,28,2,1,7,1,1,1,Atheist,"I knew nothing about this experiment. It sounded fun on mTurk, so I participated... that is all.",Does a person's level of religiosity correlate with their interpretation of profundity?,3,2017-07-01-14-27,2017-07-01-14-45,87
15,2,When I was young I remember needing a surgery that was very serious and that is when I said that If I survived I would dedicate myself to Christianity. ~~I gained great faith and I became grateful to live. I think that I received an opportunity to stay during these hard times because god has a very special and exciting plan for me and my family. I grew in spirit by reading the bible and reading about all of the hard times that others went through. In this book I read wisdom.,2,0,4,2,1,5,2,3,5,2,4,4,5,3,1,2,4,2,4,5,2,1,3,5,4,4,2,5,1,1,3,1,0,35,1,2,3,5,11,3,Catholic,none,not sure,2,2017-06-30-21-16,2017-06-30-21-23,90
16,2,"I've watched my parents all my life be wonderful Christians - their strong beliefs have been a light to me from a young age. When I was still in elementary school I came down with pneumonia and was very sick for a while. One night I was suffering and asked my parents to pray for me - God healed me that night. The pneumonia was gone. I've never forgotten that experience, and it was the ultimate proof to me that God is real and He loves me.",1,1,3,3,1,1,1,1,1,2,3,1,1,1,2,1,2,2,2,1,1,1,1,3,1,1,1,2,2,1,2,2,0,30,2,2,7,5,8,4,Non-denominational,Nothing.,What is the connection between religious beliefs and open-mindedness? Are the studies true about Christianity declining?,2,2017-07-01-03-48,2017-07-01-04-05,47
17,2,"hello darkness my old friends, I come to talk to you again. The visions that were planted in my brain, still remains, in restless dreams I walk alone, in the halo of street lamps. In the naked light I saw, ten thousands people or even more, people talking without speaking, people writing songs that voices never shed. And the signs of the words of the promise whisper.",1,0,3,3,5,5,5,3,3,5,5,5,3,3,5,3,5,4,4,5,3,5,3,5,5,3,3,5,5,5,5,3,0,23,1,2,6,3,2,4,Catholic,a series of surveys. But the questions are good,the scientific mind of religion,4,2017-06-30-23-30,2017-06-30-23-38,124
18,2,When I was in Iraq there was a point I was convinced we were dead.  There was no way we were ever going to get through the day. However we had air cover come in and save all our lives.  I knew there had to be someone helping me.  If they had gone any longer we would have been wiped out by the number of enemy we were facing.  Throughout all of the invasion I continued to read the bible to get me through the hardest days.  My whole squad returned from that first deployment together an unharmed.  While not all my friends made it those that I slept next to on a daily basis all did.  Something had to be going right for that to happen.  It reminded me of the footprints poem about that was when God carried me.,1,1,5,2,1,4,5,5,3,2,4,1,2,1,4,3,5,3,4,4,2,5,3,3,5,2,1,1,4,3,1,1,0,35,1,2,6,4,5,4,Catholic,Nothing,It was about Christianity in America.,3,2017-07-01-14-20,2017-07-01-14-32,89
19,2,"There was a time when I was struggling with my Christian identity and I wanted to know how God saw me. I had my eyes closed and I was praying and asking how I saw myself and I was immediately brought an image of a scene from Saving Private Ryan where a guy on the beaches of Normandy was hidden behind a barricade and had dropped his rifle and was crying.~~Then I asked God how HE saw me and he brought me an image of Aragorn from Fellowship of the Ring where he was humble enough to tell Frodo that he did not desire the ring and then stood to face wave after wave of enemy orcs to protect the ""innocent"" and ""defenseless"" hobbits. ~~That was when I began to understand what God had called me to do and be and he gave me the verse: Isaiah 61:1-3, basically proclaiming freedom of the captive and release of the prisoners; essentially: fight for those who cannot fight for themselves.",1,1,2,1,1,1,1,3,1,1,2,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,42,1,2,7,5,7,6,Assembly of God,"Didn't know anything about it, but it seemed like statements from a bunch of scientists who would like to be in the next Christopher Nolan space movie.",The origin of the mind and consciousness.,4,2017-06-30-20-36,2017-06-30-20-51,40
20,2,"We were stranded in an airport.  That wasn't uncommon, we often traveled with my Dad so that he could work for several weeks in one place without having to fly home on weekends.  What was unusual was the snow storm and the power outage in the terminal we were in.~~~~I'd been a Wiccan for several years at that point, it had fallen into the patterns of daily life and faded from the bright new thing it had been when I first started.  It was almost a non-question, actually, and most of what stuck with me was the aesthetics, the songs and chants, the colors and art.~~~~So there we are, my mom, my dad, and myself, a 14 year old wiccan girl with absolutely nothing to do, in a freezing airport terminal with dozens of other families stuck in a freezing airport terminal, and I begin singing ""Unity of the Elements"" to entertain myself.  Everyone sings along,",2,0,4,4,4,1,5,1,2,3,1,2,5,3,3,5,5,2,3,4,1,3,3,4,2,4,2,4,3,4,4,4,0,28,2,2,5,5,2,1,Wiccan,Only what the survey description said.,"I think the study may have been about how people react to religious, spiritual, or metaphysical ideals.",5,2017-06-30-21-25,2017-06-30-21-37,95
21,1,I get up in the morning and take my medicine.  Then I get online and work until about 1:00 PM.  I get something for lunch.  Then I wash dishes and clothes.  I do other housework such as cleaning my bedroom or one of the other rooms in the house.  Later on I get back online and work online on my other things plus look at my email and get on Facebook for a while.  I sometimes play some of my other games on the computer.,2,1,4,5,3,2,2,4,4,2,4,5,5,5,3,3,4,3,3,4,4,4,5,2,3,3,3,3,4,3,2,1,0,65,2,2,6,5,5,1,Pentacostal,nothing,to see how many people believe in consciousness.,3,2017-07-01-04-16,2017-07-01-04-32,102
22,1,"I got up at 7:00 am. I took a shower, brushed my teeth, and put on my work clothes. I grabbed a breakfast sandwich from the local Dunkin' Donuts near my apartment building as I hurried to the train station to take the red line to downtown Chicago. I arrived at work by 9:00 am. I got to my workstation and read e-mails and progress reports on the various projects I am on. By 11:00 am, I was in the first of two meetings. I presented some material to my work group and others do the same. By 1:00 pm, I headed out to lunch. I picked up a lunch meal at the Subway near my work building. I arrived back to my workstation by 2:00 pm. From 2:00 pm to 5:00 pm, I was working on various aspects of my job.I ask my team mates about the state of their work and what should and should not be covered in the second meeting later today. By 5:30 pm, I entered my second meeting to debrief my co-workers on the progress I have made today. By 6:00 pm, I started to head home. I arrived home via train by 7:00 pm. I cook dinner with my fiance. After dinner when snuggled together on the couch at watch our favorite TV shows, or they are on a re-run, pop in a movie from my Blu-Ray collection to watch. At this point, it is 11:00 pm, so my fiance and I are getting a bit tired. We finish the movie and start preparing for bed. She and I take showers and talk about the day and what to expect tomorrow. By 12:00 am, we bout are in bed, really to get some good night sleep after a long day.",2,0,3,3,3,3,3,4,2,4,4,3,3,4,4,4,2,2,5,4,1,2,1,4,1,2,2,4,5,2,2,3,0,33,1,1,6,1,1,1,none,nothing,I do not know.,1,2017-06-30-20-20,2017-06-30-20-29,89
23,2,Listening to some music and just taking it all in. The words spoke to me and I really felt it. Started to sway back and forth and became happy. I got so into and started singing along. Then I just felt the energy and started happily crying with tears. It lasted for a few minutes. Then I was filled with happiness and felt I could take on the world.,1,0,1,5,1,1,1,1,1,1,3,1,5,1,2,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,0,35,1,2,4,2,2,1,none,nothing,spirituality test,3,2017-07-01-00-34,2017-07-01-00-44,49
24,1,"I arrive at work. I briefly check to ensure that everything is where it should be. I will think about the academia I need to remember in order to increase the probability that I will do well on my next test. I will begin to make customers their food and to clean when time permits this. I will work for about two hours and then I will take a thirty minute break. I will eat something simple that I brought from home. This something will very likely be something that can be quickly cooked in the microwave. I will proceed to eat and, perform more thorough studying. I will finish my break and go and get some more cleaning and organizing done. During this time I will be a little social if there is enough time and pace to do so. If we are busy, I will focus primarily o the tasks at hand. I will wave to one familiar face during the latter hours of the day. The world is a very small place.",1,1,4,4,2,2,3,3,3,3,2,2,3,2,4,2,5,3,2,2,2,2,2,3,3,2,2,3,4,2,2,3,0,27,1,2,7,6,4,6,"Latter-Day Saint (""Mormon"")",All I knew was that this had something to do with writing and personality.,To discover what religious and non-religious people find profound.,4,2017-07-01-04-45,2017-07-01-04-59,81
25,2,"Raising my kiddo alone and being a Mother who had made mistakes in my life, there came a time when I was so discouraged that I didn't want to go on.  One evening when my kiddo was asleep my prayers were to just please make this awful life stop and if this took a car accident or something for me to disappear and give my child a better life than I could provide then so be it.  Tears were flowing and I couldn't get my thoughts off of my mistakes and onto the fact t hat I was loved unconditionally and forgiven.  The next day was a wake up call that made my life",2,1,2,2,2,2,3,1,3,3,2,2,3,3,4,1,4,2,1,3,3,3,2,3,4,1,4,4,2,3,3,2,0,57,2,2,5,5,2,5,Christian,Nothing,Curiosity about the depth folks believe and how they retained a belief.  If the focus is on the universe and nature vs. physics,2,2017-06-30-22-11,2017-06-30-22-25,77
26,1,An average experience for me is getting on Mturk. I spend a good portion of the early side of the day doing surveys or batch HITs on Mturk to make extra money. Generally I am doing it from 8am till about 2-3pm.,2,0,5,4,4,1,2,5,2,5,3,4,4,3,3,5,3,5,4,4,3,5,5,5,5,4,5,5,4,5,4,3,0,25,1,2,7,6,2,1,nothing in particular,I didn't know anything,I can't figure out what it's trying to test,1,2017-06-30-21-29,2017-06-30-21-38,119
27,1,"I woke up and went for my daily morning run around the neighborhood. It's 6:30am but there are quite a few people around already, some are walking their dogs, going to work or running just like me. I say hello to people I know as I run. I stop off at the local convenience store to pick up a paper I can read while eating breakfast. On the last leg on my run I stop in at the local bakery to get fresh bread so I can make sandwiches for my lunch. After I run the final 5 minutes to my apartment building.",2,0,2,1,1,1,3,1,2,3,3,1,4,2,3,4,1,3,2,2,2,2,2,4,2,4,5,4,4,3,5,3,0,47,1,1,7,1,1,1,Atheist,That it was about story writing and personality.,To define our English proficiency and views on God/religion.,2,2017-06-30-21-46,2017-06-30-22-00,79
28,2,"My husband and I were attending a small church close to our house.  We had become members, volunteered our talents to the church, and gave tithes.  After four years, we started to notice divisions in the church.  The head pastor took full control and fired the assistant pastor.  The head pastor began to use his pulpit as a way to banish anyone who did not homeschool their children like his wife taught their own children. Next, he hired another assistant pastor who never questioned the head pastor and gave sermons that were an hour and a half long.  ~~~~One afternoon, I was cleaning my home and listening to Christian music.  I was praying about what to do next.  I suddenly felt the presence of God.  Hairs raised on the back of my neck.  I hear a voice say, ""It's going to be okay.  Leave that church.  It's okay.""  We left that church and found a more loving and less bullying",2,0,2,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,31,2,2,7,5,4,6,Nondenominational Protestant,"I would write a story, read an article, and answering questions",How a person's religion affects their view on life,3,2017-07-01-03-45,2017-07-01-03-58,36
29,1,"Every day, I pick up my kids from school/daycare/summer camp, and come home to play a game or watch a movie with them and eat dinner. I like to use these few hours we have in the evening to really bond with them, and to hear about their days and what is going on with their friends and in their activities. I try to make time for each of them individually, as well as give them time to play together and with all of us as a group. My favorite thing to do is to play Hide and Seek or card games with them. I enjoy having a game that both my 8 year old and 2 year old can enjoy. Making dinner and unwinding from the day is something important for all of us.",1,0,4,2,2,2,3,2,2,4,2,2,3,2,3,4,2,3,3,2,4,4,2,4,2,2,3,2,4,4,4,2,0,34,2,2,7,4,8,6,Christian,Nothing,"I didn't find anything suspicious/didn't notice any particular question that may be under investigation, although all of the statements could have been. ~~~~I think the purpose of the study was to measure attitudes about religion and consiousness.",1,2017-07-01-03-44,2017-07-01-03-57,84
30,2,RELIGIOUS BELIEF WILL VARY ACCORDING TO EVERYONE POINT OF VIEW WITH THE GOD,1,1,1,4,4,3,3,5,4,3,3,1,3,3,5,1,3,2,4,3,3,5,4,3,4,3,5,4,3,5,2,2,0,34,1,2,7,5,8,6,CHRISTIAN,DECISION,GOOD ONE,6,2017-07-01-14-07,2017-07-01-14-16,98
31,1,"Every night I have to get three young children to bed, all at the same time, by myself. I first start by giving the baby a bath while the other 2 watch cartoons (or jump around on the couch like crazy people). I then get her dressed and put her in her exersaucer so I can bathe my son. He splashes water everywhere and swims as if he's swimming in a pool. He whines when I wash his hair. I get him out and put a diaper on him (otherwise he pees on the couch), and then I get the bath started for my oldest daughter. While she is bathing I give the baby her medicine and nurse her to sleep. I lay her down in the crib and go wash my daughter's hair and get her out of the tub. She gets dressed, brushes her teeth and hair and brings me a book. We read it, give goodnight hugs and kisses and she goes to bed. I brush my son's teeth, put pajama pants on him and get him his cup of milk. We go to his bed where we read a book and then he lays down to go to sleep. After our bedtime routine, I promptly go to the kitchen to eat my emotions (frustration, exhaustion). Bedtime is a crazy time around here, especially when I'm the only parent home at night to do it.~~",1,1,4,4,4,2,4,3,2,4,5,1,2,1,1,4,3,1,4,4,1,5,2,5,1,1,1,1,4,3,2,2,0,29,2,2,7,2,2,2,methodist,perception of religion,I believe the purpose of this study was to see how religion and science beliefs coexist in one's mind.,2,2017-07-01-05-32,2017-07-01-05-42,81
32,1,"Today I went to the grocery store with my son...he's four years old.  We left daycare and drove across town to the grocery store.  I had clipped coupons and made a list earlier in the day.  When we found a parking spot, I got him out of his car seat and we walked inside and picked out a shopping cart.  I put my son in the cart and we started getting dog food.  Then, we picked up canned goods and pantry staples.  We then picked up some fresh fruits and vegetables.  After that, we stopped to look at the lobsters, that's my sons favorite part!  We went over to the meat aisle and picked up some meats and then went over to frozen foods.  I let my son pick out some ice cream.  Finally, we made our way to the front of the store to check out.  There were lots of lines, so we tried to find the line that was the shortest.  After a long wait, we finally made it to the front of the line.  The cashier scanned all of our items and we paid for our groceries.  Lastly, we went out to our car, unloaded the cart and put it away.  We left the store and went home to unpack our groceries.",2,1,3,5,3,3,4,4,3,4,4,3,4,5,5,4,2,4,3,4,2,3,4,4,3,4,5,5,4,3,4,4,0,32,2,2,7,4,5,3,lutheran,nothing,I'm not sure.,2,2017-07-01-05-24,2017-07-01-05-33,112
33,2,"I'm not religious, but I've dabbled in spiritual activities associated with Wicca, such as spells and crystals. I believe there is some healing power in crystals, and a moment when this belief was confirmed was pretty recently. I decided to pick out a few specific crystals of mine to help me with negative emotions I've been having, and I slept with them next to my bed. I had several dreams that were directly related to the problems I'd been having, and when I woke up I felt like a burden had been lifted. I felt clarity. So whether crystal healing is ""real"" or not, there was enough of an effect on me that I would continue doing this and putting stock into it. I've considered that it's just a placebo effect and it could be, but I also find it fun and reassuring to believe it's more real than that. It also made me want to do more research into the spiritual aspect of crystals and other things I'm into. I want to have more positive experiences where I feel like I have some control over my life and that I can help myself feel better without overthinking whatever situation I'm in.",2,0,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,25,2,1,3,1,1,1,None,Only that I would be writing a story and answering questions about my personality,"Maybe writing personal stories make people rate those items as less profound? I found myself explicitly thinking, ""These are unrelatable especially after what I just wrote""",2,2017-07-01-00-28,2017-07-01-00-39,45
34,2,It was when my brother passed away. I had a dream where he was dressed in all white and we were sitting at the kitchen table where we grew up. He sat there and told me everything is going to be okay that he was in a good place and not to worry because he would be looking out for me. this convinced me that there was something more after we pass away. I think he was really reaching out to let me know that there is something out there after death. This comforted me and i knew he was in a better place. This is just one of the many experiences that strengthens my spiritual beliefs. Knowing he is waiting gives me faith.,2,0,4,2,3,1,2,1,2,1,5,4,2,1,3,4,4,1,4,2,1,4,3,2,1,5,2,2,3,1,2,3,0,40,1,2,6,4,4,1,Catholic,Nothing,Peoples belief in faith,3,2017-07-01-01-00,2017-07-01-01-13,75
35,2,"my experience was when my mother  was very sick and I have ti take her to hospital and need an operation I pray that my mom survive the operation  and God answered my prayer my mom is now in a healthy condition after the liver operation that was strenghten my beliefs in God, because if I did not pray hard I know that my mom will die because it is hard to find a liver donor and God guide this donor for us",2,1,2,3,4,2,3,2,2,2,3,2,2,4,4,2,2,4,2,4,2,4,5,5,4,1,3,4,1,2,4,4,0,20,2,2,6,5,5,5,Christianity,personality traits,purpose of study is to know what self believe is,3,2017-07-01-05-19,2017-07-01-05-34,88
36,1,"I get around 6am in the morning just about everyday. I would work from 8-5pm in San Francisco. There is usually a heavy traffic when it comes to taking public transportation before reaching my destination. I would be in the office taking phone calls, checking e-mails, doing paperwork, and etc. An usual day would be quite hectic. However, there are good days when everyone is able to take care of what needs to be done for the day. My job really helps develop to be a much more intelligent person. It improves my social skills and dealing with difficult situations, which helps me to to deal better with my life outside from work. Life involves being critical and good planning. The workplace truly allows me to grow and develop the skills for that.~~",1,1,3,2,4,2,3,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,3,2,3,4,2,2,3,3,0,30,1,2,6,5,11,4,Christianity,I knew that it would question about life.~~,I think the purpose of this study is to learn more about how people live their lives and how they feel about it.~~,5,2017-07-01-06-23,2017-07-01-06-45,89
