id,condition,duration,dem_gender,dem_age,dem_employment,dem_income,dem_education,dem_religion,dem_religion_12_TEXT,dem_religious,dem_party,dem_party_4_TEXT,dem_ethnicity,dem_ethnicity_8_TEXT,dem_marriage,dem_orientation,dem_orientation_4_TEXT,letter_timing_first_click,letter_timing_last_click,letter_timing_page_submit,letter_timing_click_count,pti_ii_religion,pti_ii_politics,pti_ii_gender,pti_ii_orientation,pti_ii_age,pti_ii_race,pti_ii_family,pti_ii_profession,pti_ii_other_label,pti_ii_other,pti_ii_rank_order_1,pti_ii_rank_order_2,pti_ii_rank_order_3,pti_ii_rank_order_4,pti_ii_rank_order_5,pti_ii_rank_order_6,pti_ii_rank_order_7,pti_ii_rank_order_8,pti_ii_rank_order_9,pti_1,pti_2,pti_3,pti_4,pti_5,pti_6,attention_check_1,pti_7,pti_8,pti_9,pti_10,pti_11,pti_12,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,attention_check_2,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,cm_1,cm_2,cm_3,cm_4,cm_5,crt_1,crt_2,crt_3,attention_check_crt,pol_att_01,pol_att_02,pol_att_03,pol_att_04,pol_att_05,pol_att_06,pol_att_07,pol_att_08,pol_att_09,pol_att_10,pol_att_11,Fake1_2,Fake1_RT_first_click,Fake1_RT_last_click,Fake1_RT_page_submit,Fake1_RT_click_count,Fake2_2,Fake2_RT_first_click,Fake2_RT_last_click,Fake2_RT_page_submit,Fake2_RT_click_count,Fake3_2,Fake3_RT_first_click,Fake3_RT_last_click,Fake3_RT_page_submit,Fake3_RT_click_count,Fake4_2,Fake4_RT_first_click,Fake4_RT_last_click,Fake4_RT_page_submit,Fake4_RT_click_count,Fake5_2,Fake5_RT_first_click,Fake5_RT_last_click,Fake5_RT_page_submit,Fake5_RT_click_count,Fake6_2,Fake6_RT_first_click,Fake6_RT_last_click,Fake6_RT_page_submit,Fake6_RT_click_count,Fake7_2,Fake7_RT_first_click,Fake7_RT_last_click,Fake7_RT_page_submit,Fake7_RT_click_count,Fake8_2,Fake8_RT_first_click,Fake8_RT_last_click,Fake8_RT_page_submit,Fake8_RT_click_count,Fake9_2,Fake9_RT_first_click,Fake9_RT_last_click,Fake9_RT_page_submit,Fake9_RT_click_count,Fake10_2,Fake10_RT_first_click,Fake10_RT_last_click,Fake10_RT_page_submit,Fake10_RT_click_count,Fake11_2,Fake11_RT_first_click,Fake11_RT_last_click,Fake11_RT_page_submit,Fake11_RT_click_count,Fake12_2,Fake12_RT_first_click,Fake12_RT_last_click,Fake12_RT_page_submit,Fake12_RT_click_count,Real1_2,Real1_RT_first_click,Real1_RT_last_click,Real1_RT_page_submit,Real1_RT_click_count,Real2_2,Real2_RT_first_click,Real2_RT_last_click,Real2_RT_page_submit,Real2_RT_click_count,Real3_2,Real3_RT_first_click,Real3_RT_last_click,Real3_RT_page_submit,Real3_RT_click_count,Real4_2,Real4_RT_first_click,Real4_RT_last_click,Real4_RT_page_submit,Real4_RT_click_count,Real5_2,Real5_RT_first_click,Real5_RT_last_click,Real5_RT_page_submit,Real5_RT_click_count,Real6_2,Real6_RT_first_click,Real6_RT_last_click,Real6_RT_page_submit,Real6_RT_click_count,Real7_2,Real7_RT_first_click,Real7_RT_last_click,Real7_RT_page_submit,Real7_RT_click_count,Real8_2,Real8_RT_first_click,Real8_RT_last_click,Real8_RT_page_submit,Real8_RT_click_count,Real9_2,Real9_RT_first_click,Real9_RT_last_click,Real9_RT_page_submit,Real9_RT_click_count,Real10_2,Real10_RT_first_click,Real10_RT_last_click,Real10_RT_page_submit,Real10_RT_click_count,Real11_2,Real11_RT_first_click,Real11_RT_last_click,Real11_RT_page_submit,Real11_RT_click_count,Real12_2,Real12_RT_first_click,Real12_RT_last_click,Real12_RT_page_submit,Real12_RT_click_count,pdiFirst,perceived_threat_to_identity_total,conspiracy_mentality_total,conservative_political_beliefs_total,need_for_closure_total,importance_of_identity_total,cognitive_reflection_test_total,belief_in_fake_news_total,belief_in_real_news_total
49,Raelian Threat,952,Female,19,A student,"$40,000 to $49,999","1 or more years of college, no degree",Christian,NA,No,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,169.915,169.915,181.676,1,1,1,5,5,3,5,5,5,N/A,7,8,7,4,5,2,6,1,3,9,2,4,2,4,2,2,7,2,3,2,2,2,2,5,4,4,4,4,5,5,5,6,6,4,4,5,6,5,4,8,7,10,6,8,$0.05,100,36,999,5,3,1,1,2,3,4,3,30,24,31,1,4.694,4.694,7.732,1,2,4.962,4.962,7.159,1,3,3.005,3.005,3.706,1,2,7.402,7.402,8.756,1,2,4.351,5.589,6.456,2,2,2.951,2.951,3.782,1,1,5.02,5.02,7.346,1,1,4.477,4.477,6.712,1,2,9.656,9.656,11.436,1,2,3.488,4.528,5.217,2,1,6.282,6.965,7.468,2,3,5.113,6.093,9.417,2,2,2.758,2.758,4.369,1,2,5.236,5.552,6.608,2,4,6.593,6.593,7.809,1,2,3.855,4.419,6.594,2,3,2.004,2.004,2.756,1,3,2.051,2.051,2.804,1,3,7.982,7.982,8.811,1,2,4.806,6.43,7.278,3,3,8.106,8.106,9.907,1,2,0.84,6.423,7.104,2,2,2.771,2.771,3.778,1,3,10.564,10.564,11.432,1,0,2.5,7.8,-0.170741024,4.533333333,3.75,1,22,31
50,Raelian Threat,1278,Female,18,A student,"$100,000 to $149,999","Some college credit, but less than 1 year",Christian,NA,Yes,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,198.864,198.864,200.186,1,3,3,6,4,4,2,6,6,N/A,7,7,5,4,6,3,8,2,1,9,1,2,1,1,1,1,1,2,1,2,2,1,1,6,3,3,4,2,6,5,4,6,4,4,6,5,4,3,6,6,8,7,5,7,.10 cents,100,47,999,1,4,1,1,3,3,3,4,53,22,67,2,4.334,5.1,5.607,2,2,4.984,5.845,6.31,2,2,6.254,6.254,8.264,1,2,10.541,10.541,11.905,1,2,6.537,6.537,7.693,1,3,5.715,5.715,6.782,1,3,8.943,8.943,10.228,1,1,5.748,7.164,7.478,2,2,8.573,9.524,10.007,2,1,4.991,4.991,7.88,1,2,8.921,8.921,9.757,1,2,3.951,3.951,6.225,1,3,8.158,8.158,9.06,1,3,9.433,10.848,12.114,2,3,7.287,7.287,7.991,1,3,3.886,3.886,5.11,1,3,3.684,3.684,10.267,1,3,4.356,4.356,5.078,1,3,11.945,11.945,13.072,1,2,22.311,22.311,23.516,1,2,8.557,13.201,14.706,2,2,13.147,13.147,14.173,1,3,4.124,4.6,5.351,2,3,8.915,8.915,10.646,1,0,1.3,6.6,-0.060364563,4.533333333,4.25,1,24,33
51,Religious Threat,1245,Female,23,A student,"$60,000 to $69,999","Associate degree (for example: AA, AS)",Other,none,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,197.587,197.587,198.874,1,1,3,2,2,3,2,5,4,N/A,7,8,3,6,5,4,7,1,2,9,1,3,1,1,2,1,7,2,1,3,1,2,1,4,4,3,6,1,5,5,4,6,3,4,1,3,4,3,5,8,10,4,6,7,0.05,100 minutes,24,999,1,4,1,1,2,3,3,2,23,18,28,1,4.914,4.914,6.258,1,2,6.483,6.483,7.648,1,1,3.649,3.649,4.845,1,2,14.011,14.011,16.762,1,NA,5.503,5.503,6.689,1,3,8.087,9.879,10.571,2,2,13.12,13.12,16.168,1,3,7.77,8.818,9.988,2,2,11.573,11.573,12.86,1,2,4.134,4.134,5.173,1,1,7.741,7.741,8.818,1,1,6.176,6.176,7.5,1,2,8.468,8.468,9.524,1,3,7.627,7.627,8.843,1,2,6.889,6.889,8.559,1,3,14.404,14.404,15.272,1,3,7.315,9.691,10.422,2,1,8.035,9.084,10.16,2,4,6.882,6.882,7.939,1,2,13.428,13.428,14.366,1,2,17.15,17.15,18.969,1,3,7.024,7.024,7.813,1,3,12.724,12.724,13.318,1,2,8.477,9.11,10.971,2,1,1.4,7,-0.546868848,3.933333333,2.75,1,NA,30
52,Non-religious Threat,1868,Male,18,A student,"$100,000 to $149,999",High school graduate - high school diploma or the equivalent (for example: GED),Other,Spiritual,No,Democrat,NA,White,NA,Never married,Homosexual,NA,21.566,234.357,235.826,7,2,5,4,5,4,3,5,5,N/A,7,8,1,6,4,5,7,2,3,9,3,3,2,3,5,3,7,5,6,2,2,5,6,2,3,4,4,3,2,4,4,6,1,5,3,5,4,3,3,7,4,5,4,2,0.5,1 minute,18,999,1,4,1,1,1,1,1,2,16,10,36,1,5.059,5.999,6.513,2,1,9.485,9.485,11.058,1,1,5.441,5.441,6.952,1,1,14.197,14.197,15.078,1,2,6.624,6.624,7.848,1,2,13.34,13.34,14.456,1,2,20.708,44.271,45.635,3,2,19.886,19.886,25.153,1,2,22.632,22.632,23.915,1,3,7.36,7.36,8.132,1,2,14.827,14.827,15.478,1,1,7.448,7.448,12.803,1,3,8.214,8.214,9.248,1,2,22.854,22.854,24.397,1,3,8.447,8.447,14.036,1,3,7.994,8.478,9.644,2,3,7.371,7.371,8.886,1,2,19.087,19.087,20.6,1,4,8.071,8.071,12.82,1,4,6.133,6.133,7.219,1,4,9.443,9.443,10.568,1,3,20.824,20.824,22.004,1,3,12.965,12.965,14.613,1,3,10.696,11.626,12.348,2,1,3.8,4.4,-0.999121279,3.333333333,4.125,0,20,37
53,Religious Threat,1525,Female,19,Employed for wages,"$60,000 to $69,999","1 or more years of college, no degree",Other,spiritual,No,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,232.73,232.73,235.996,1,1,1,1,1,2,1,2,4,N/A,7,5,6,4,3,2,8,7,1,9,2,2,2,2,2,2,7,5,2,2,2,2,2,4,3,5,4,2,4,4,3,6,3,3,3,5,4,3,5,10,11,5,5,5,0.8,50,24,999,1,3,1,2,1,2,2,3,50,50,50,2,8.402,8.402,12.575,1,2,11.277,11.277,12.678,1,2,4.221,4.221,5.298,1,2,21.524,21.524,22.906,1,2,10.168,10.168,11.807,1,2,4.847,4.847,5.922,1,1,9.303,9.303,12.547,1,1,6.917,6.917,8.923,1,1,15.486,15.486,18.345,1,2,10.47,10.47,11.448,1,2,10.589,10.589,11.845,1,2,6.793,6.793,8.007,1,3,5.988,5.988,19.251,1,2,18.816,18.816,20.708,1,2,6.98,6.98,9.531,1,2,5.344,7.145,7.836,3,2,6.728,6.728,7.883,1,3,8.92,8.92,9.928,1,3,13.615,13.615,14.7,1,3,11.534,11.534,13.561,1,2,9.385,9.385,11.6,1,2,19.579,19.579,26.197,1,2,5.125,5.125,6.299,1,2,13.785,13.785,15.038,1,0,2.3,7.2,-0.444905652,3.8,1.625,0,21,28
54,Non-religious Threat,1316,Male,20,A student,"Less than $10,000","1 or more years of college, no degree",Agnostic,NA,No,Other,NA,White,NA,Never married,Heterosexual or straight,NA,252.237,252.237,254.493,1,1,2,3,2,4,3,5,5,N/A,7,9,8,4,7,3,5,2,1,6,1,1,5,1,5,3,1,4,2,3,1,5,2,4,6,4,4,3,6,6,5,1,3,2,6,4,6,3,3,10,11,8,6,7,10 cents,100 minutes,24,999,5,3,5,2,2,3,3,2,14,32,19,1,4.682,4.682,6.203,1,1,7.76,8.898,10.845,2,2,3.738,3.738,4.856,1,3,7.949,7.949,8.949,1,1,5.039,5.039,6.433,1,2,5,6.178,7.405,3,2,13.324,13.749,14.847,2,3,7.926,7.926,11.952,1,1,9.305,9.79,11.569,2,3,7.414,9.196,10.374,3,2,9.839,14.383,17.559,3,3,6.497,7.437,8.23,3,2,7.598,7.598,11.289,1,2,7.833,7.833,8.894,1,2,3.797,3.797,9.27,1,2,8.571,8.571,10.558,1,2,5.844,5.844,7.881,1,2,9.763,13.286,13.949,3,3,7.447,8.279,8.859,2,2,9.633,9.633,10.6,1,3,5.134,5.59,6.528,2,3,8.931,9.614,10.879,2,3,4.499,6.924,8.061,4,3,9.277,10.118,11.315,3,1,2.5,8.4,0.088625219,4.333333333,3.125,0,24,29
55,Raelian Threat,950,Male,18,A student,"Less than $10,000","Some college credit, but less than 1 year",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,28.953,96.413,98.273,3,5,3,4,6,4,5,5,5,N/A,1,2,3,7,4,6,8,1,5,9,1,1,4,2,1,2,7,1,1,2,1,1,2,4,3,4,5,3,4,5,5,6,4,5,5,6,5,3,5,7,8,7,6,7,$0.10,100 minutes,24,999,4,5,5,4,3,2,2,5,100,80,100,1,6.306,6.306,7.254,1,2,5.572,7.462,8.54,3,2,4.942,6.614,7.584,2,2,6.144,6.144,7.121,1,3,2,2,2.883,1,4,7.609,7.609,8.635,1,2,4.837,4.837,5.876,1,2,9.801,9.801,10.782,1,2,3.104,3.104,4.2,1,2,5.679,5.679,6.56,1,2,2.829,2.829,3.866,1,1,7.879,7.879,9.276,1,3,3.207,3.207,4.006,1,3,3.389,4.16,4.633,2,3,3.138,3.138,4.177,1,3,5.45,5.45,6.558,1,4,3.062,3.062,3.913,1,3,3.724,3.724,4.52,1,2,10.716,10.716,11.743,1,2,1.814,2.428,3.327,2,3,4.269,4.269,5.938,1,3,3.7,4.443,6.151,2,4,5.223,6.441,7.462,2,3,6.106,6.106,7.162,1,0,1.6,7,1.271671948,4.533333333,4.625,0,25,36
56,Raelian Threat,1084,Female,19,A student,"Less than $10,000","1 or more years of college, no degree",Other,non demoninational,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,166.852,166.852,168.596,1,2,5,5,3,5,1,2,5,N/A,7,5,2,1,7,3,8,6,4,9,3,6,5,5,5,2,7,3,6,5,5,5,3,3,1,4,3,2,3,4,2,6,2,2,3,4,4,2,2,7,9,7,7,8,0.1,1 hr 40 minutes,24,999,1,3,1,1,2,1,2,2,38,30,45,1,4.073,4.073,5.426,1,1,4.106,7.856,8.2,3,2,2.5,2.5,3.844,1,1,8.586,9.863,10.217,2,2,4.663,4.663,5.82,1,3,7.188,11.742,12.522,3,2,14.353,14.877,16.339,2,1,14.236,14.236,21.301,1,1,5.964,5.964,6.932,1,2,3.303,12.053,13.161,2,1,6.035,6.035,7.102,1,1,4.909,5.918,6.296,2,2,5.904,6.716,7.068,2,3,5.017,5.017,7.184,1,2,4.603,4.603,5.718,1,3,6.074,6.074,8.249,1,3,4.418,4.418,6.554,1,4,8.803,8.803,10.097,1,3,7.755,7.755,8.909,1,3,7.122,7.122,10.138,1,1,6.843,8.941,10.662,2,3,6.039,6.039,6.819,1,3,5.623,5.623,6.431,1,3,11.86,12.909,14.046,2,0,4.3,7.6,-0.761758185,3.066666667,3.5,0,18,33
57,Non-religious Threat,1037,Male,20,Employed for wages,"$10,000 to $19,999","1 or more years of college, no degree",Buddhist,NA,Yes,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,123.218,123.218,124.348,1,4,2,2,2,2,1,5,6,Moral/Ethical Identity,5,4,6,5,8,7,9,3,1,2,1,1,2,1,1,1,7,5,1,1,1,3,2,2,1,5,1,1,2,5,3,6,2,4,4,5,4,2,2,7,11,6,7,7,$0.05,5 minutes,47 days,999,1,2,1,1,2,3,3,4,40,10,75,1,9.076,9.076,10.522,1,1,9.205,10.086,11.352,2,1,5.129,5.129,7.294,1,2,11.781,11.781,12.809,1,1,5.459,5.459,6.525,1,2,5.988,5.988,7.748,1,2,11.163,11.539,12.587,2,1,7.627,14.576,15.771,3,1,11.85,11.85,13.849,1,2,10.005,10.005,11.407,1,1,4.98,4.98,14.589,1,1,4.572,4.572,8.42,1,3,7.513,7.989,8.729,2,4,13.273,13.273,14.075,1,3,4.282,4.282,5.548,1,2,7.211,7.211,8.843,1,3,7.27,7.27,7.959,1,3,7.579,7.579,8.419,1,3,13.681,13.681,14.482,1,3,8.53,8.53,9.221,1,3,11.241,11.657,12.812,2,2,5.44,5.44,6.278,1,3,10.583,10.583,11.352,1,3,7.188,7.188,10.791,1,1,1.8,7.6,-0.37806224,3.466666667,3,3,16,35
58,Religious Threat,1286,Female,20,A student,"$10,000 to $19,999","1 or more years of college, no degree",Agnostic,NA,No,Democrat,NA,White,NA,Never married,Bisexual,NA,222.772,222.772,223.942,1,1,5,4,5,5,2,4,1,N/A,7,8,1,3,2,4,6,5,7,9,5,5,6,6,7,5,7,4,5,4,4,6,6,4,5,2,3,4,5,5,4,6,1,5,5,2,1,1,2,11,5,7,6,4,0.1,100,47,999,1,3,1,1,1,1,3,3,15,3,32,1,4.536,4.536,6.207,1,3,6.191,6.191,7.792,1,1,7.569,7.569,9.941,1,3,18.959,18.959,19.77,1,1,4.295,4.295,9.52,1,2,17.26,17.26,18.319,1,2,14.258,14.258,18.72,1,2,12.533,23.083,23.824,3,1,3.476,4.199,5.87,2,3,5.171,5.171,5.842,1,1,7.053,7.053,8.95,1,1,3.83,3.83,5.946,1,1,12.462,12.462,14.577,1,3,7.46,7.46,8.331,1,2,5.6,16.082,16.426,3,3,18.42,18.42,19.252,1,1,8.305,8.305,9.896,1,2,17.828,17.828,20.211,1,3,7.066,7.066,7.827,1,3,16.198,16.198,17.632,1,3,10.701,10.701,26.585,1,2,13.028,13.028,14.088,1,3,8.387,8.387,9.84,1,2,9.625,9.625,10.633,1,1,5.2,6.6,-0.879241008,3.733333333,3.375,1,21,28
59,Non-religious Threat,1214,Male,20,A student,"$50,000 to $59,999","1 or more years of college, no degree",Buddhist,NA,Yes,Democrat,NA,White,NA,Never married,Bisexual,NA,106.667,106.667,108.083,1,2,3,1,1,1,1,1,2,N/A,7,4,1,6,7,5,8,3,2,9,2,2,4,2,3,2,7,6,2,1,1,4,4,4,1,5,1,4,5,5,4,6,3,4,5,5,4,3,3,9,9,3,7,5,0.1,100,47 days,999,1,3,1,1,1,1,2,1,10,10,10,2,19.026,19.026,20.094,1,2,12.548,20.17,21.167,2,2,6.104,6.104,7.601,1,1,9.687,17.813,19.207,2,2,11.908,11.908,13.106,1,2,12.73,12.73,14.746,1,2,15.684,15.684,28.651,1,2,12.95,15.583,17.995,2,1,25.136,25.136,36.408,1,3,9.187,9.187,10.007,1,2,14.515,14.515,17.442,1,2,12.937,12.937,14.489,1,2,6.243,6.243,10.853,1,2,13.711,15.433,15.857,2,2,8.194,8.857,10.331,2,3,9.028,10.632,11.143,3,2,3.41,4.737,14.781,2,1,4.132,4.132,11.046,1,3,8.681,9.047,9.817,2,4,5.68,6.344,8.925,2,3,26.552,31.392,33.281,4,2,13.343,14.343,15.24,3,3,11.764,13.398,14.584,3,3,18.839,18.839,20.401,1,0,2.9,6.6,-1.20097365,3.933333333,1.5,1,23,30
60,Religious Threat,1037,Female,35,A student,"$30,000 to $39,999","Associate degree (for example: AA, AS)",Other,none,No,Republican,NA,White,NA,Divorced,Heterosexual or straight,NA,154.007,154.007,177.342,1,1,3,3,5,4,4,5,5,veteran,6,9,5,3,8,7,6,2,4,1,6,6,5,6,5,6,1,5,6,3,5,6,7,6,4,6,4,2,5,5,5,1,4,3,3,6,4,1,4,11,11,9,8,11,0.1,100,24,999,1,4,3,2,4,2,5,5,40,71,82,1,4.066,4.066,5.667,1,4,5.614,8.058,8.78,2,1,2.25,2.25,3.444,1,2,11.832,11.832,13.178,1,1,5.301,5.301,7.219,1,4,12.828,12.828,15.092,1,2,5.176,5.176,6.391,1,1,6.263,6.263,7.16,1,1,4.755,6.328,10.393,2,2,5.157,5.157,7.454,1,1,8.19,8.19,9.733,1,1,4.448,4.448,6.555,1,2,4.613,4.613,5.969,1,3,13.308,14.051,15.192,2,3,7.401,7.401,8.2,1,3,11.345,11.345,12.609,1,4,11.018,11.018,12.133,1,4,3.977,3.977,5.231,1,3,8.167,8.167,16.389,1,2,25.856,25.856,27.545,1,4,3.949,3.949,4.65,1,2,9.535,9.535,10.878,1,3,8.457,8.457,10.88,1,3,16.414,16.414,17.877,1,0,5.8,10,0.631780631,4.2,3.75,0,21,36
61,Raelian Threat,1148,Male,20,A student,"$60,000 to $69,999","1 or more years of college, no degree",Protestant,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,30.505,144.636,146.031,4,6,3,3,5,2,1,3,4,N/A,7,1,5,4,6,7,8,2,3,9,5,3,4,5,6,7,7,7,4,6,4,6,6,3,2,5,5,3,2,5,5,6,4,2,4,6,5,3,2,10,7,5,7,7,$0.10,100 minutes,47 days,999,4,5,3,1,2,3,4,4,70,40,100,1,5.967,5.967,7.864,1,2,8.863,8.863,9.941,1,2,5.231,5.231,6.705,1,3,12.302,12.302,13.361,1,1,7.47,7.47,8.389,1,4,5.788,5.788,6.953,1,3,9.767,9.767,10.895,1,1,16.574,16.574,17.721,1,1,13.007,13.007,14.39,1,1,6.193,6.193,11.833,1,1,9.697,9.697,12.14,1,2,9.628,9.628,10.634,1,2,10.05,10.05,12.641,1,4,7.119,7.119,9.463,1,3,5.763,5.763,9.383,1,3,7.096,7.096,8.269,1,4,8.766,8.766,9.89,1,3,4.808,4.808,5.895,1,2,11.52,11.52,12.759,1,2,6.222,6.222,9.349,1,3,9.3,9.3,10.783,1,2,8.198,14.473,15.608,2,3,9.768,9.768,10.936,1,3,10.892,10.892,11.941,1,1,5.1,7.2,0.7010404,4,3.375,1,22,34
62,Religious Threat,1262,Male,19,A student,"$90,000 to $99,999","1 or more years of college, no degree",Catholic,NA,No,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,263.519,263.519,264.707,1,1,1,1,1,1,1,1,5,N/A,7,5,4,6,7,2,8,3,1,9,1,1,1,1,1,1,7,1,1,1,1,1,1,3,5,6,6,2,5,5,5,6,3,2,3,5,6,4,5,11,9,11,8,10,$0.10,100 minutes,24 days,999,5,3,1,2,4,4,4,3,50,33,81,2,9.018,9.018,10.632,1,3,16.486,16.833,17.524,2,2,3.234,3.234,7.144,1,2,8.199,8.585,9.603,2,2,6.505,6.505,7.859,1,2,8.175,8.175,9.164,1,2,7.755,8.577,8.853,2,1,5.209,6.119,7.15,2,1,30.203,30.203,31.192,1,3,4.314,4.314,5.362,1,3,8.777,9.48,10.496,3,2,15.662,15.662,16.442,1,2,3.521,3.521,4.319,1,2,8.756,8.756,9.695,1,2,5.454,5.454,6.084,1,3,6.749,9.758,10.449,3,3,3.606,3.606,4.387,1,4,10.692,10.692,11.374,1,2,5.742,6.574,6.868,2,2,9.816,9.816,10.693,1,2,13.112,13.112,13.983,1,1,1.297,8.187,9.015,2,2,10.989,10.989,11.957,1,3,6.772,7.218,7.475,2,1,1,9.8,0.416230664,4.533333333,1.5,0,25,28
63,Non-religious Threat,1306,Female,21,Employed for wages,"Less than $10,000","1 or more years of college, no degree",Protestant,NA,Yes,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,2.165,222.879,223.207,3,1,4,1,1,1,1,1,4,N/A,7,4,2,7,8,6,5,3,1,9,2,2,4,5,5,2,7,6,2,5,2,5,5,4,6,6,6,4,6,4,4,6,4,4,5,6,5,5,6,9,8,7,6,9,0.1,100,24,999,4,5,1,2,2,3,1,2,30,20,20,1,4.151,4.151,5.673,1,2,22.433,22.433,24.798,1,2,12.726,15.607,16.841,2,1,12.397,12.397,13.562,1,2,8.839,8.839,11.461,1,1,13.764,13.764,14.911,1,1,10.946,15.747,16.1,4,2,9.585,9.585,10.573,1,1,4.589,4.589,6.854,1,2,10.167,10.167,11.344,1,2,16.286,16.286,17.573,1,1,6.902,6.902,8.188,1,2,7.919,7.919,9.314,1,2,3.434,3.434,4.6,1,2,8.563,9.721,10.682,2,2,3.345,3.345,4.313,1,3,4.523,4.523,5.472,1,3,4.766,5.697,7.07,2,2,6.023,6.448,8.078,2,3,4.622,6.096,7.549,2,1,9.031,9.031,12.612,1,2,14.105,14.55,15.479,2,2,7.216,7.216,11.016,1,2,6.004,16.001,17.34,5,0,3.5,7.8,-0.358150098,4.866666667,1.75,0,18,26
64,Raelian Threat,1721,Female,22,A student,"$30,000 to $39,999","1 or more years of college, no degree",Christian,NA,Yes,Other,Undecided,White,NA,Never married,Heterosexual or straight,NA,231.821,231.821,233.7,1,6,3,2,2,2,3,6,4,Moral Identity,6,1,6,9,8,7,5,3,4,2,1,3,2,5,2,2,7,6,4,2,2,6,5,3,2,6,6,2,2,5,5,6,1,4,3,6,5,2,4,10,10,2,6,4,$0.50,100,47 days,999,1,4,3,1,5,3,4,3,70,85,70,1,5.1,6.974,8.588,2,2,14.122,23.03,23.821,5,1,9.5,9.5,10.981,1,2,7.433,7.433,9.443,1,1,4.56,6.431,8.013,2,2,8.572,8.572,9.66,1,1,7.671,7.671,8.841,1,1,7.634,7.634,9.097,1,1,12.765,12.765,14.109,1,3,8.708,8.708,10.32,1,1,18.016,18.016,19.312,1,1,3.73,3.73,5.032,1,3,9.894,9.894,11.3,1,2,13.107,13.107,14.422,1,1,2.129,2.129,3.812,1,1,2.911,2.911,4.324,1,3,7.117,7.117,8.815,1,3,4.612,4.612,5.767,1,2,13.321,13.321,15.9,1,2,23.001,23.001,24.376,1,2,23.116,23.116,24.975,1,2,11.355,21.264,22.522,3,2,3.643,3.643,6.016,1,2,19.073,19.073,20.39,1,1,3.6,6.4,0.573695536,4.133333333,3.5,1,17,25
65,Non-religious Threat,1528,Male,20,A student,"$90,000 to $99,999","1 or more years of college, no degree",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,207.596,207.596,209.051,1,3,2,2,2,3,3,5,5,N/A,7,3,6,8,7,4,5,1,2,9,2,2,2,2,2,2,7,2,2,5,2,2,2,4,2,2,4,4,4,4,5,6,5,1,2,2,1,2,2,10,8,8,3,3,10 cents,100 minutes,47 days,999,4,4,1,1,4,2,3,2,60,60,60,2,5.375,5.375,7.07,1,1,7.192,7.192,8.496,1,2,6.488,7.24,8.755,2,2,12.351,12.351,13.328,1,2,5.533,5.533,6.592,1,3,11.293,11.293,12.776,1,1,5.937,5.937,7.904,1,1,13.566,13.566,16.284,1,1,5.212,5.212,7.528,1,2,9.646,9.646,11.582,1,2,8.963,8.963,10.545,1,1,7.465,7.465,8.822,1,2,5.562,5.562,7.637,1,3,7.579,7.579,8.975,1,3,18.532,18.532,19.637,1,3,8.896,8.896,9.972,1,3,7.161,7.161,8.05,1,3,8.029,8.464,9.761,2,3,12.251,12.251,13.387,1,3,7.895,7.895,8.659,1,2,24.924,24.924,26.643,1,2,10.083,10.083,11.93,1,2,11.282,11.955,13.172,2,3,8.942,8.942,10.099,1,0,2,6.4,0.067527196,3.533333333,3.125,1,20,32
66,Religious Threat,1359,Female,22,A student,"$150,000 or more","1 or more years of college, no degree",Catholic,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,319.844,320.457,322.43,2,3,1,5,5,4,3,5,4,n/a,7,4,8,6,7,3,2,1,5,9,1,2,2,1,2,1,7,4,1,2,2,2,4,5,4,5,4,3,5,4,4,6,4,4,4,5,5,3,5,8,6,7,4,6,0.1,100 minutes,24,999,4,4,1,3,3,3,3,4,50,50,50,2,6.531,6.531,7.228,1,1,5.521,5.521,6.924,1,1,4.573,4.573,5.71,1,1,9.436,9.436,10.395,1,1,7.934,7.934,9.218,1,2,23.927,23.927,25.131,1,2,7.235,7.235,8.403,1,1,7.915,7.915,8.845,1,1,5.606,5.606,6.683,1,1,4.776,4.776,5.655,1,2,16.976,16.976,17.963,1,1,8.055,8.966,10.319,2,3,5.716,5.716,7.188,1,2,7.048,7.048,8.444,1,3,7.159,7.159,8.284,1,2,7.7,7.7,8.837,1,3,7.82,7.82,8.7,1,3,5.226,5.226,6.263,1,2,10.81,10.81,11.838,1,2,7.92,8.256,9.334,2,1,5.766,5.766,6.982,1,1,8.075,8.075,9.153,1,2,6.239,6.239,7.594,1,2,8.733,9.535,10.67,2,0,2,6.2,0.309589375,4.2,3.75,0,16,26
