variable,label,value_labels,scale,subscale,Keying,links
right_wing_authoritarianism_06,People should be ready to protest against and challenge laws they don’t agree with,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_07,People should be allowed to make speeches and write books urging the overthrow of the government,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_08,"The more people there are that are prepared to criticize the authorities, challenge and protest against the government, the better it is for society",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_09,People should stop teaching children to obey authority,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_10,The real keys to the “good life” are respect for authority and obedience to those who are in charge.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_11,The authorities should be obeyed because they are in the best position to know what is good for our country.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_12,Our leaders should be obeyed without question.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_13,*Nobody should stick to the “straight and narrow.” Instead people should break loose and try out lots of different ideas and experiences.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_14,The “old-fashioned ways” and “old-fashioned values” still show the best way to live.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_15,"God’s laws about abortion, pornography, and marriage must be strictly followed before it is too late (Not included in original version of Traditionalism scale).",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_16,There is absolutely nothing wrong with nudist camps.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_17,"This country will flourish if young people stop experimenting with drugs, alcohol, and sex, and pay more attention to family values.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_18,There is nothing wrong with premarital sexual intercourse.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_19,"Traditional values, customs, and morality have a lot wrong with them.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_20,"Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_21,The radical and sinful new ways of living and behaving of many young people may one day destroy our society.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_22,Trashy magazines and radical literature in our communities are poisoning the minds of our young people.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_23,It is important that we preserve our traditional values and moral standards.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,1,NA
right_wing_authoritarianism_24,"People should pay less attention to the bible and the other old-fashioned forms of religious guidance, and instead develop their own personal standards of what is moral and immoral.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Traditionalism,-1,NA
right_wing_authoritarianism_25,"Strong, tough government will harm not help our country.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_26,"Being kind to loafers or criminals will only encourage them to take advantage of your weakness, so it’s best to use a firm, tough hand when dealing with them.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_27,Our society does NOT need tougher government and stricter laws.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_28,"The facts on crime and the recent public disorders show we have to crack down harder on troublemakers, if we are going preserve law and order.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_29,"Our prisons are a shocking disgrace. Criminals are unfortunate people who deserve much better care, instead of so much punishment.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_30,"The way things are going in this country, it’s going to take a lot of “strong medicine” to straighten out the troublemakers, criminals, and perverts.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_31,We should smash all the negative elements that are causing trouble in our society.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_32,"The situation in our country is getting so serious, the strongest methods would be justified if they eliminated the troublemakers and got us back to our true path.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_33,People who say our laws should be enforced more strictly and harshly are wrong. We need greater tolerance and more lenient treatment for lawbreakers.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_34,The courts are right in being easy on drug offenders. Punishment would not do any good in cases like these.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
right_wing_authoritarianism_35,"What our country really needs is a tough, harsh dose of law and order.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),1,NA
right_wing_authoritarianism_36,Capital punishment is barbaric and never justified.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Authoritarianism (“Authoritarian Aggression”),-1,NA
attention_check_1,"Please select ""strongly agree"" to indicate that you are reading the questions.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,NA,NA,NA,NA
attention_check_2,"Please select ""moderately disagree"" to indicate that you are reading the questions.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,NA,NA,NA,NA
attention_check_3,"Please select ""very strongly agree"" to indicate that you are reading the questions.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,NA,NA,NA,NA
status_quo_conservatism_1,"One should be cautious about making major changes v. ""You will never achieve much in life unless you act boldly""",1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,Status quo conservatism,-1,NA
status_quo_conservatism_2,"Ideas that have stood the test of time are generally best v. ""New ideas are generally better than old ones""",1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,Status quo conservatism,-1,NA
laissez_faire_conservatism_1,"Incomes should be made more equal v. ""We need larger income differences as incentives for individual effort""",1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,Laissez faire conservatism,1,NA
attention_check_4,Please select the number two to indicate you are reading the questions.,1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,NA,NA,NA
laissez_faire_conservatism_2,"Private ownership of business and industry should be increased v. ""Government ownership of business and industry should be increased""",1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,Laissez faire conservatism,-1,NA
laissez_faire_conservatism_3,"The government should take more responsibility to ensure that everyone is provided for v. ""People should take more responsibility to provide for themselves""",1. agree completely with the first statement 10. agree completely with the second statement,Political Dispositions,Laissez faire conservatism,1,NA
authoritarian_parenting_preferences_1,Authoritarian Parenting Preferences - Item 1,1. Independence 2. Respect for elders,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_2,Authoritarian Parenting Preferences - Item 2,1. Obedience 2. Self-reliance,Authoritarian Parenting Preferences,NA,-1,NA
authoritarian_parenting_preferences_3,Authoritarian Parenting Preferences - Item 3,1. Curiosity 2. Good manners,Authoritarian Parenting Preferences,NA,1,NA
authoritarian_parenting_preferences_4,Authoritarian Parenting Preferences - Item 4,1. Being considerate 2. Being well behaved.,Authoritarian Parenting Preferences,NA,1,NA
political_attitudes_1,The federal government has far too much power.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_2,"It is extremely important for a country to protect its borders, including implementation of strict regulations regarding immigration.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_3,Gun laws within the United States should be stricter.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_4,I am very worried about global warming and the consequences of climate change.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_5,Our healthcare system would be much better off if the Affordable Care Act (Obamacare) was repealed.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_6,The government should prioritize protecting the environment over developing energy.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_7,The death penalty should be an option for punishing those convicted of murder.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_8,Upper-income individuals pay too little in taxes.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_9,The ability for a women to obtain an Abortion should remain a legal right in the United States.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_10,The mass media is generally doing a good job in provided the public with trustworthy information.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,-1,NA
political_attitudes_11,"The rights of religious individuals and institutions, which allow them to behave according to their beliefs, need to be further protected by the law.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Conservative Political Attitudes,NA,1,NA
political_attitudes_12,Please indicate where you would fall on the Liberal/Conservative spectrum GENERALLY?,0. Very Liberal 100. Very Conservative,Conservative Political Attitudes,NA,1,NA
political_attitudes_13,Please indicate where you would fall on the Liberal/Conservative spectrum when it comes to SOCIAL ISSUES?,0. Very socially liberal 100. Very socially conservative,Conservative Political Attitudes,NA,1,NA
political_attitudes_14,Please indicate where you would fall on the Liberal/Conservative spectrum when it comes to ECONOMIC ISSUES?,0. Very economically liberal 100. Very economically conservative,Conservative Political Attitudes,NA,1,NA
tweet_1_agreement,Tweet 1: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_1_accuracy,Tweet 1: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_2_agreement,Tweet 2: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_2_accuracy,Tweet 2: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_3_agreement,Tweet 3: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_3_accuracy,Tweet 3: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_4_agreement,Tweet 4: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_4_accuracy,Tweet 4: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_5_agreement,Tweet 5: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_5_accuracy,Tweet 5: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_6_agreement,Tweet 6: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_6_accuracy,Tweet 6: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
tweet_7_agreement,Tweet 7: Please indicate the degree to which you agree or disagree with the above statement.,1. strongly disagree 11. strongly agree,Trump Tweets,NA,1,NA
tweet_7_accuracy,Tweet 7: Please indicate the degree to which you find the above statement to be accurate/true or inaccurate/untrue.,1. inaccurate/untrue 11. accurate/true,Trump Tweets,NA,1,NA
purpose_guess,Sometimes experiments study questions that are not obvious. You will now be asked to indicate a research question that you believe might be under investigation in this experiment. You can type in the possible research question that you believe may have be,string,NA,NA,NA,NA
guess_certainty,How certain are you that the research question you just typed in is in fact under investigation in this study?,1.I did not type in a guess. 2. Not at all certain. It is a total guess. 3. A little certain. 4. Moderately certain. 5. Quite certain. 6. 100% certain. This is what is being studied.,NA,NA,NA,NA
religious_identity_total,Religious Identity - Total Score,numeric,NA,NA,NA,NA
right_wing_authoritarianism_total,Right-Wing Authoritarianism - Total Score,numeric,NA,NA,NA,NA
authoritarian_parenting_preferences_total,Authoritarian Parenting Preferences - Total Score,numeric,NA,NA,NA,NA
trump_tweet_agreement_total,Trump Tweet Agreement - Total,numeric,NA,NA,NA,NA
trump_tweet_accuracy_total,Trump Tweet Accuracy - Total,numeric,NA,NA,NA,NA
conservative_political_belief_total,Conservative Political Belief - Total,numeric,NA,NA,NA,NA
